t; x
0; 10
0.01; 10
0.02; 9.9
0.03; 9.7
0.04; 9.401
0.05; 9.005
0.06; 8.51499
0.07; 7.93493
0.08; 7.26972
0.09; 6.52516
0.1; 5.7079
0.11; 4.8254
0.12; 3.88581
0.13; 2.89797
0.14; 1.87127
0.15; 0.815591
0.16; -0.258801
0.17; -1.34135
0.18; -2.42131
0.19; -3.48785
0.2; -4.53019
0.21; -5.53764
0.22; -6.49979
0.23; -7.40657
0.24; -8.24835
0.25; -9.01606
0.26; -9.70129
0.27; -10.2964
0.28; -10.7944
0.29; -11.1895
0.3; -11.4767
0.31; -11.6519
0.32; -11.7124
0.33; -11.6564
0.34; -11.4832
0.35; -11.1935
0.36; -10.7889
0.37; -10.2724
0.38; -9.64806
0.39; -8.92096
0.4; -8.09738
0.41; -7.18459
0.42; -6.19083
0.43; -5.12522
0.44; -3.9977
0.45; -2.81892
0.46; -1.60018
0.47; -0.353239
0.48; 0.9097
0.49; 2.17617
0.5; 3.43355
0.51; 4.66916
0.52; 5.87044
0.53; 7.02502
0.54; 8.1209
0.55; 9.14654
0.56; 10.091
0.57; 10.9439
0.58; 11.696
0.59; 12.3386
0.6; 12.8642
0.61; 13.2665
0.62; 13.5401
0.63; 13.6811
0.64; 13.6866
0.65; 13.5554
0.66; 13.2872
0.67; 12.8836
0.68; 12.347
0.69; 11.6816
0.7; 10.8928
0.71; 9.98711
0.72; 8.97251
0.73; 7.85804
0.74; 6.65385
0.75; 5.37107
0.76; 4.02176
0.77; 2.61874
0.78; 1.17549
0.79; -0.293934
0.8; -1.77512
0.81; -3.25336
0.82; -4.71385
0.83; -6.14181
0.84; -7.52263
0.85; -8.84204
0.86; -10.0862
0.87; -11.242
0.88; -12.2969
0.89; -13.2393
0.9; -14.0588
0.91; -14.746
0.92; -15.2925
0.93; -15.6915
0.94; -15.9377
0.95; -16.0269
0.96; -15.9567
0.97; -15.7263
0.98; -15.3363
0.99; -14.7891
1; -14.0885
1.01; -13.24
1.02; -12.2506
1.03; -11.1288
1.04; -9.88448
1.05; -8.5289
1.06; -7.07447
1.07; -5.53475
1.08; -3.92429
1.09; -2.25848
1.1; -0.553422
1.11; 1.17422
1.12; 2.90739
1.13; 4.62882
1.14; 6.32118
1.15; 7.96724
1.16; 9.5501
1.17; 11.0533
1.18; 12.461
1.19; 13.7581
1.2; 14.9307
1.21; 15.9656
1.22; 16.8513
1.23; 17.5773
1.24; 18.1348
1.25; 18.5165
1.26; 18.7168
1.27; 18.732
1.28; 18.5601
1.29; 18.2008
1.3; 17.6559
1.31; 16.929
1.32; 16.0255
1.33; 14.9528
1.34; 13.7198
1.35; 12.3372
1.36; 10.8175
1.37; 9.17442
1.38; 7.42315
1.39; 5.58013
1.4; 3.66288
1.41; 1.68982
1.42; -0.319855
1.43; -2.34643
1.44; -4.36981
1.45; -6.36973
1.46; -8.32595
1.47; -10.2185
1.48; -12.0277
1.49; -13.7348
1.5; -15.3216
1.51; -16.7711
1.52; -18.0673
1.53; -19.1958
1.54; -20.1437
1.55; -20.8996
1.56; -21.454
1.57; -21.7995
1.58; -21.9304
1.59; -21.8433
1.6; -21.5369
1.61; -21.0121
1.62; -20.272
1.63; -19.3217
1.64; -18.1686
1.65; -16.8224
1.66; -15.2945
1.67; -13.5983
1.68; -11.7492
1.69; -9.76415
1.7; -7.66158
1.71; -5.46137
1.72; -3.18455
1.73; -0.853108
1.74; 1.51018
1.75; 3.88199
1.76; 6.23871
1.77; 8.5566
1.78; 10.8121
1.79; 12.982
1.8; 15.0439
1.81; 16.9759
1.82; 18.7574
1.83; 20.3692
1.84; 21.7935
1.85; 23.014
1.86; 24.0166
1.87; 24.7891
1.88; 25.3214
1.89; 25.6058
1.9; 25.6369
1.91; 25.4121
1.92; 24.9308
1.93; 24.1955
1.94; 23.2108
1.95; 21.9842
1.96; 20.5255
1.97; 18.8469
1.98; 16.9631
1.99; 14.8908
2; 12.6489
2.01; 10.258
2.02; 7.7407
2.03; 5.1208
2.04; 2.42349
2.05; -0.325023
2.06; -3.09777
2.07; -5.86728
2.08; -8.6058
2.09; -11.2857
2.1; -13.8794
2.11; -16.3604
2.12; -18.7025
2.13; -20.8811
2.14; -22.8726
2.15; -24.6553
2.16; -26.2093
2.17; -27.5167
2.18; -28.562
2.19; -29.3322
2.2; -29.8167
2.21; -30.0079
2.22; -29.901
2.23; -29.494
2.24; -28.7879
2.25; -27.787
2.26; -26.4981
2.27; -24.9314
2.28; -23.0997
2.29; -21.0187
2.3; -18.7067
2.31; -16.1845
2.32; -13.4752
2.33; -10.6041
2.34; -7.59821
2.35; -4.4863
2.36; -1.29842
2.37; 1.93433
2.38; 5.18007
2.39; 8.40646
2.4; 11.581
2.41; 14.6716
2.42; 17.6463
2.43; 20.4743
2.44; 23.1258
2.45; 25.5726
2.46; 27.7882
2.47; 29.748
2.48; 31.4299
2.49; 32.8143
2.5; 33.8845
2.51; 34.6265
2.52; 35.0297
2.53; 35.0865
2.54; 34.7931
2.55; 34.1489
2.56; 33.1567
2.57; 31.823
2.58; 30.1577
2.59; 28.1743
2.6; 25.8892
2.61; 23.3224
2.62; 20.4967
2.63; 17.4378
2.64; 14.1739
2.65; 10.7356
2.66; 7.15563
2.67; 3.46827
2.68; -0.290645
2.69; -4.08424
2.7; -7.87494
2.71; -11.6248
2.72; -15.2959
2.73; -18.8507
2.74; -22.2526
2.75; -25.466
2.76; -28.4569
2.77; -31.1931
2.78; -33.6447
2.79; -35.7844
2.8; -37.5877
2.81; -39.0331
2.82; -40.1026
2.83; -40.7818
2.84; -41.06
2.85; -40.9303
2.86; -40.3901
2.87; -39.4405
2.88; -38.0871
2.89; -36.3392
2.9; -34.2105
2.91; -31.7184
2.92; -28.8842
2.93; -25.7328
2.94; -22.2925
2.95; -18.595
2.96; -14.6745
2.97; -10.568
2.98; -6.31482
2.99; -1.95595
3; 2.46608
3.01; 6.90766
3.02; 11.3246
3.03; 15.6724
3.04; 19.907
3.05; 23.9849
3.06; 27.8637
3.07; 31.5027
3.08; 34.863
3.09; 37.9083
3.1; 40.6049
3.11; 42.9225
3.12; 44.834
3.13; 46.3163
3.14; 47.3503
3.15; 47.9211
3.16; 48.0184
3.17; 47.6365
3.18; 46.7744
3.19; 45.4359
3.2; 43.6297
3.21; 41.3692
3.22; 38.6723
3.23; 35.5617
3.24; 32.0645
3.25; 28.2116
3.26; 24.038
3.27; 19.5824
3.28; 14.8863
3.29; 9.99448
3.3; 4.95376
3.31; -0.186906
3.32; -5.37711
3.33; -10.5654
3.34; -15.7
3.35; -20.7289
3.36; -25.6008
3.37; -30.2655
3.38; -34.6741
3.39; -38.78
3.4; -42.5392
3.41; -45.9107
3.42; -48.8567
3.43; -51.3436
3.44; -53.342
3.45; -54.8269
3.46; -55.7784
3.47; -56.1816
3.48; -56.027
3.49; -55.3107
3.5; -54.034
3.51; -52.2043
3.52; -49.8342
3.53; -46.9421
3.54; -43.5516
3.55; -39.6917
3.56; -35.3963
3.57; -30.7039
3.58; -25.6577
3.59; -20.3043
3.6; -14.6944
3.61; -8.88147
3.62; -2.92158
3.63; 3.12713
3.64; 9.20506
3.65; 15.2517
3.66; 21.2063
3.67; 27.0084
3.68; 32.5984
3.69; 37.9184
3.7; 42.9123
3.71; 47.5271
3.72; 51.7127
3.73; 55.4231
3.74; 58.6164
3.75; 61.2554
3.76; 63.3082
3.77; 64.7485
3.78; 65.5557
3.79; 65.7155
3.8; 65.2197
3.81; 64.0667
3.82; 62.2615
3.83; 59.8157
3.84; 56.7472
3.85; 53.0806
3.86; 48.8465
3.87; 44.0816
3.88; 38.8283
3.89; 33.1341
3.9; 27.0516
3.91; 20.6378
3.92; 13.9535
3.93; 7.06283
3.94; 0.0325992
3.95; -7.06825
3.96; -14.1694
3.97; -21.1999
3.98; -28.0887
3.99; -34.7655
4; -41.1615
4.01; -47.2097
4.02; -52.8464
4.03; -58.0109
4.04; -62.647
4.05; -66.703
4.06; -70.1325
4.07; -72.895
4.08; -74.9561
4.09; -76.2883
4.1; -76.871
4.11; -76.6907
4.12; -75.7418
4.13; -74.0259
4.14; -71.5526
4.15; -68.3391
4.16; -64.41
4.17; -59.7976
4.18; -54.541
4.19; -48.6865
4.2; -42.2866
4.21; -35.3998
