t; x
0; 0
0.01; 0.1
0.02; 0.2
0.03; 0.299
0.04; 0.396
0.05; 0.49001
0.06; 0.58006
0.07; 0.66521
0.08; 0.744559
0.09; 0.817256
0.1; 0.882508
0.11; 0.939587
0.12; 0.987841
0.13; 1.0267
0.14; 1.05568
0.15; 1.07439
0.16; 1.08255
0.17; 1.07996
0.18; 1.06655
0.19; 1.04233
0.2; 1.00745
0.21; 0.962152
0.22; 0.906776
0.23; 0.841778
0.24; 0.767712
0.25; 0.685229
0.26; 0.595068
0.27; 0.498055
0.28; 0.395092
0.29; 0.287148
0.3; 0.175253
0.31; 0.0604862
0.32; -0.0560329
0.33; -0.173157
0.34; -0.28972
0.35; -0.404552
0.36; -0.516487
0.37; -0.624376
0.38; -0.727101
0.39; -0.823582
0.4; -0.912791
0.41; -0.993765
0.42; -1.06561
0.43; -1.12752
0.44; -1.17877
0.45; -1.21875
0.46; -1.24694
0.47; -1.26294
0.48; -1.26647
0.49; -1.25737
0.5; -1.23561
0.51; -1.20128
0.52; -1.15459
0.53; -1.09588
0.54; -1.02563
0.55; -0.944422
0.56; -0.852957
0.57; -0.752047
0.58; -0.642608
0.59; -0.525649
0.6; -0.402263
0.61; -0.273621
0.62; -0.140956
0.63; -0.00555481
0.64; 0.131256
0.65; 0.268122
0.66; 0.403675
0.67; 0.536548
0.68; 0.665383
0.69; 0.788854
0.7; 0.90567
0.71; 1.0146
0.72; 1.11447
0.73; 1.20419
0.74; 1.28277
0.75; 1.34931
0.76; 1.40302
0.77; 1.44324
0.78; 1.46943
0.79; 1.48118
0.8; 1.47824
0.81; 1.46049
0.82; 1.42796
0.83; 1.38082
0.84; 1.3194
0.85; 1.24418
0.86; 1.15576
0.87; 1.05489
0.88; 0.942474
0.89; 0.819505
0.9; 0.687112
0.91; 0.546524
0.92; 0.399064
0.93; 0.246139
0.94; 0.0892239
0.95; -0.0701529
0.96; -0.230422
0.97; -0.389989
0.98; -0.547253
0.99; -0.700616
1; -0.848507
1.01; -0.989392
1.02; -1.12179
1.03; -1.2443
1.04; -1.35558
1.05; -1.45443
1.06; -1.53972
1.07; -1.61046
1.08; -1.66581
1.09; -1.70505
1.1; -1.72764
1.11; -1.73317
1.12; -1.72143
1.13; -1.69236
1.14; -1.64607
1.15; -1.58286
1.16; -1.50318
1.17; -1.40768
1.18; -1.29715
1.19; -1.17254
1.2; -1.03496
1.21; -0.885653
1.22; -0.725997
1.23; -0.557484
1.24; -0.381711
1.25; -0.200364
1.26; -0.0151991
1.27; 0.171969
1.28; 0.359289
1.29; 0.54489
1.3; 0.726898
1.31; 0.903456
1.32; 1.07275
1.33; 1.233
1.34; 1.38253
1.35; 1.51973
1.36; 1.6431
1.37; 1.75127
1.38; 1.84302
1.39; 1.91725
1.4; 1.97305
1.41; 2.00968
1.42; 2.02658
1.43; 2.02338
1.44; 1.99992
1.45; 1.95622
1.46; 1.89252
1.47; 1.80926
1.48; 1.70708
1.49; 1.5868
1.5; 1.44945
1.51; 1.29623
1.52; 1.12852
1.53; 0.947851
1.54; 0.755893
1.55; 0.554457
1.56; 0.345461
1.57; 0.130921
1.58; -0.0870739
1.59; -0.306378
1.6; -0.524811
1.61; -0.740181
1.62; -0.950302
1.63; -1.15302
1.64; -1.34624
1.65; -1.52792
1.66; -1.69615
1.67; -1.84909
1.68; -1.98508
1.69; -2.10257
1.7; -2.20021
1.71; -2.27683
1.72; -2.33144
1.73; -2.36328
1.74; -2.37182
1.75; -2.35671
1.76; -2.31789
1.77; -2.25551
1.78; -2.16994
1.79; -2.06182
1.8; -1.932
1.81; -1.78156
1.82; -1.6118
1.83; -1.42423
1.84; -1.22054
1.85; -1.0026
1.86; -0.772461
1.87; -0.532295
1.88; -0.284404
1.89; -0.0311909
1.9; 0.224867
1.91; 0.481236
1.92; 0.735357
1.93; 0.984665
1.94; 1.22662
1.95; 1.45873
1.96; 1.67857
1.97; 1.88383
1.98; 2.07229
1.99; 2.24193
2; 2.39083
2.01; 2.51732
2.02; 2.6199
2.03; 2.69731
2.04; 2.74852
2.05; 2.77275
2.06; 2.7695
2.07; 2.73852
2.08; 2.67985
2.09; 2.59379
2.1; 2.48094
2.11; 2.34214
2.12; 2.17854
2.13; 1.99151
2.14; 1.7827
2.15; 1.55398
2.16; 1.30742
2.17; 1.04533
2.18; 0.770165
2.19; 0.484544
2.2; 0.191223
2.21; -0.106944
2.22; -0.407024
2.23; -0.706034
2.24; -1.00097
2.25; -1.28885
2.26; -1.56672
2.27; -1.8317
2.28; -2.08102
2.29; -2.31201
2.3; -2.5222
2.31; -2.70927
2.32; -2.87111
2.33; -3.00586
2.34; -3.1119
2.35; -3.18789
2.36; -3.23275
2.37; -3.24573
2.38; -3.22639
2.39; -3.17459
2.4; -3.09053
2.41; -2.97471
2.42; -2.828
2.43; -2.65154
2.44; -2.44679
2.45; -2.21554
2.46; -1.95981
2.47; -1.68193
2.48; -1.38445
2.49; -1.07015
2.5; -0.742006
2.51; -0.403161
2.52; -0.056896
2.53; 0.293401
2.54; 0.644266
2.55; 0.992198
2.56; 1.33369
2.57; 1.66525
2.58; 1.98348
2.59; 2.28506
2.6; 2.5668
2.61; 2.8257
2.62; 3.05892
2.63; 3.26389
2.64; 3.43826
2.65; 3.58
2.66; 3.68736
2.67; 3.75892
2.68; 3.7936
2.69; 3.79069
2.7; 3.74985
2.71; 3.6711
2.72; 3.55485
2.73; 3.40189
2.74; 3.21339
2.75; 2.99086
2.76; 2.7362
2.77; 2.45163
2.78; 2.1397
2.79; 1.80325
2.8; 1.44541
2.81; 1.06953
2.82; 0.679202
2.83; 0.278176
2.84; -0.129642
2.85; -0.540242
2.86; -0.949546
2.87; -1.35345
2.88; -1.74785
2.89; -2.12872
2.9; -2.49212
2.91; -2.83422
2.92; -3.1514
2.93; -3.44025
2.94; -3.69757
2.95; -3.9205
2.96; -4.10645
2.97; -4.25319
2.98; -4.35887
2.99; -4.42202
3; -4.44158
3.01; -4.41692
3.02; -4.34784
3.03; -4.2346
3.04; -4.07787
3.05; -3.8788
3.06; -3.63896
3.07; -3.36032
3.08; -3.04529
