t; x
0; 0
0.001; -0.996776
0.002; -1.53002
0.003; -1.12441
0.004; -0.170501
0.005; 0.457415
0.006; 0.183294
0.007; -0.743633
0.008; -1.46571
0.009; -1.32785
0.01; -0.477781
0.011; 0.300532
0.012; 0.295862
0.013; -0.490396
0.014; -1.33092
0.015; -1.45557
0.016; -0.770782
0.017; 0.0849166
0.018; 0.330283
0.019; -0.261449
0.02; -1.14379
0.021; -1.50335
0.022; -1.02749
0.023; -0.168927
0.024; 0.286912
0.025; -0.0774365
0.026; -0.926302
0.027; -1.47434
0.028; -1.23034
0.029; -0.438279
0.03; 0.173381
0.031; 0.0466205
0.032; -0.701946
0.033; -1.37851
0.034; -1.36759
0.035; -0.700447
0.036; 0.00340206
0.037; 0.102516
0.038; -0.493323
0.039; -1.23143
0.04; -1.43418
0.041; -0.934878
0.042; -0.204964
0.043; 0.0892719
0.044; -0.319871
0.045; -1.05245
0.046; -1.43188
0.047; -1.12497
0.048; -0.431347
0.049; 0.0127622
0.05; -0.196046
0.051; -0.862621
0.052; -1.36881
0.053; -1.2594
0.054; -0.655204
0.055; -0.115361
0.056; -0.130113
0.057; -0.682366
0.058; -1.25832
0.059; -1.33297
0.06; -0.857834
0.061; -0.27927
0.062; -0.123691
0.063; -0.529406
0.064; -1.11739
0.065; -1.34673
0.066; -1.0241
0.067; -0.460888
0.068; -0.172048
0.069; -0.41699
0.07; -0.964578
0.071; -1.30758
0.072; -1.14372
0.073; -0.641914
0.074; -0.265085
0.075; -0.352746
0.076; -0.818002
0.077; -1.2272
0.078; -1.21198
0.079; -0.805735
0.08; -0.388828
0.081; -0.338215
0.082; -0.693297
0.083; -1.12051
0.084; -1.22995
0.085; -0.939059
0.086; -0.527257
0.087; -0.369123
0.088; -0.602012
0.089; -1.00388
0.09; -1.20394
0.091; -1.0331
0.092; -0.664222
0.093; -0.436298
0.094; -0.550521
0.095; -0.893115
0.096; -1.1446
0.097; -1.08427
0.098; -0.785265
0.099; -0.527099
0.1; -0.539609
0.101; -0.801627
0.102; -1.06536
0.103; -1.09425
0.104; -0.87914
0.105; -0.627156
0.106; -0.564751
0.107; -0.738942
0.108; -0.980775
0.109; -1.0695
0.11; -0.938923
0.111; -0.722211
0.112; -0.617014
0.113; -0.709709
0.114; -0.904591
0.115; -1.0203
0.116; -0.962584
0.117; -0.799836
0.118; -0.684461
0.119; -0.713364
0.12; -0.848069
0.121; -0.959253
0.122; -0.953013
0.123; -0.850868
0.124; -0.753834
0.125; -0.744465
0.126; -0.818587
0.127; -0.899619
0.128; -0.91747
0.129; -0.870414
0.13; -0.812337
0.131; -0.793625
0.132; -0.818775
0.133; -0.853532
0.134; -0.866539
0.135; -0.858338
0.136; -0.849281
0.137; -0.848918
0.138; -0.846276
0.139; -0.830364
0.14; -0.812677
0.141; -0.819182
0.142; -0.857436
0.143; -0.897564
0.144; -0.894163
0.145; -0.835443
0.146; -0.768523
0.147; -0.761545
0.148; -0.833945
0.149; -0.927669
0.15; -0.951944
0.151; -0.86929
0.152; -0.745153
0.153; -0.696971
0.154; -0.780708
0.155; -0.929835
0.156; -1.00702
0.157; -0.927492
0.158; -0.7505
0.159; -0.638444
0.16; -0.704216
0.161; -0.898445
0.162; -1.04638
0.163; -1.00122
0.164; -0.788138
0.165; -0.598676
0.166; -0.614834
0.167; -0.832495
0.168; -1.05841
0.169; -1.07832
0.17; -0.856608
0.171; -0.588347
0.172; -0.525599
0.173; -0.735895
0.174; -1.03442
0.175; -1.14489
0.176; -0.949383
0.177; -0.614537
0.178; -0.450649
0.179; -0.617205
0.18; -0.969922
0.181; -1.18703
0.182; -1.05549
0.183; -0.679541
0.184; -0.403445
0.185; -0.488817
0.186; -0.865432
0.187; -1.19267
0.188; -1.16075
0.189; -0.780244
0.19; -0.39497
0.191; -0.365662
0.192; -0.726658
0.193; -1.15318
0.194; -1.24939
0.195; -0.908163
0.196; -0.432125
0.197; -0.263552
0.198; -0.564165
0.199; -1.06465
0.2; -1.306
0.201; -1.05016
0.202; -0.516534
0.203; -0.197311
0.204; -0.392463
0.205; -0.92858
0.206; -1.3174
0.207; -1.1898
0.208; -0.643927
0.209; -0.1789
0.21; -0.228616
0.211; -0.752122
0.212; -1.27433
0.213; -1.30911
0.214; -0.804219
0.215; -0.215744
0.216; -0.0904816
0.217; -0.547609
0.218; -1.17274
0.219; -1.39064
0.22; -0.982299
0.221; -0.309485
0.222; 0.00525289
0.223; -0.331576
0.224; -1.01458
0.225; -1.41946
0.226; -1.15947
0.227; -0.455326
0.228; 0.0450464
0.229; -0.123276
0.23; -0.8079
0.231; -1.38503
0.232; -1.31537
0.233; -0.642107
0.234; 0.0202724
0.235; 0.0571788
0.236; -0.566406
0.237; -1.2825
0.238; -1.43016
0.239; -0.853125
0.24; -0.0714374
0.241; 0.190887
0.242; -0.308396
0.243; -1.11353
