t; x
0; 0.1
0.001; 0.0995012
0.002; 0.0982372
0.003; 0.0969103
0.004; 0.0962634
0.005; 0.0964068
0.006; 0.0967273
0.007; 0.096447
0.008; 0.0953416
0.009; 0.0939449
0.01; 0.0930427
0.011; 0.0929542
0.012; 0.0932525
0.013; 0.0931552
0.014; 0.0922438
0.015; 0.0908503
0.016; 0.0897378
0.017; 0.0893952
0.018; 0.0896028
0.019; 0.0896373
0.02; 0.0889341
0.021; 0.08761
0.022; 0.0863451
0.023; 0.0857474
0.024; 0.0858064
0.025; 0.0859112
0.026; 0.085409
0.027; 0.0842079
0.028; 0.0828559
0.029; 0.0820222
0.03; 0.0818899
0.031; 0.082
0.032; 0.0816721
0.033; 0.0806311
0.034; 0.079258
0.035; 0.0782247
0.036; 0.0778764
0.037; 0.0779294
0.038; 0.077734
0.039; 0.0768709
0.04; 0.0755377
0.041; 0.0743538
0.042; 0.0737843
0.043; 0.0737266
0.044; 0.0736113
0.045; 0.0729245
0.046; 0.0716818
0.047; 0.0704038
0.048; 0.0696262
0.049; 0.0694171
0.05; 0.0693255
0.051; 0.0687958
0.052; 0.0676793
0.053; 0.0663653
0.054; 0.0654087
0.055; 0.0650238
0.056; 0.0649011
0.057; 0.0644946
0.058; 0.0635235
0.059; 0.0622277
0.06; 0.0611329
0.061; 0.0605648
0.062; 0.0603634
0.063; 0.0600368
0.064; 0.0592127
0.065; 0.0579802
0.066; 0.0567953
0.067; 0.0560534
0.068; 0.0557371
0.069; 0.0554425
0.07; 0.0547512
0.071; 0.0536144
0.072; 0.0523891
0.073; 0.051497
0.074; 0.0510438
0.075; 0.0507349
0.076; 0.050149
0.077; 0.0491257
0.078; 0.0479061
0.079; 0.046898
0.08; 0.0463011
0.081; 0.0459377
0.082; 0.0454216
0.083; 0.044514
0.084; 0.0433385
0.085; 0.0422546
0.086; 0.041522
0.087; 0.041074
0.088; 0.0405882
0.089; 0.0397846
0.09; 0.0386802
0.091; 0.0375621
0.092; 0.0367141
0.093; 0.0361642
0.094; 0.0356706
0.095; 0.0349483
0.096; 0.0339288
0.097; 0.0328145
0.098; 0.0318804
0.099; 0.0312247
0.1; 0.0306913
0.101; 0.0300203
0.102; 0.0290861
0.103; 0.0280061
0.104; 0.0270201
0.105; 0.0262675
0.106; 0.0256717
0.107; 0.0250195
0.108; 0.0241589
0.109; 0.0231335
0.11; 0.0221297
0.111; 0.0212998
0.112; 0.0206305
0.113; 0.0199669
0.114; 0.0191591
0.115; 0.0181962
0.116; 0.017205
0.117; 0.0163245
0.118; 0.0155828
0.119; 0.0148838
0.12; 0.0141025
0.121; 0.0131982
0.122; 0.0122421
0.123; 0.0113408
0.124; 0.010539
0.125; 0.00978994
0.126; 0.0090079
0.127; 0.00814812
0.128; 0.00723939
0.129; 0.00634596
0.13; 0.00550528
0.131; 0.00470255
0.132; 0.00389596
0.133; 0.00305911
0.134; 0.00219871
0.135; 0.00133661
0.136; 0.000483508
0.137; -0.000365159
0.138; -0.00121299
0.139; -0.00205199
0.14; -0.002874
0.141; -0.0036898
0.142; -0.00452745
0.143; -0.00540436
0.144; -0.00630028
0.145; -0.00716571
0.146; -0.00796828
0.147; -0.00873336
0.148; -0.00953057
0.149; -0.0104107
0.15; -0.0113503
0.151; -0.0122615
0.152; -0.0130694
0.153; -0.0137906
0.154; -0.0145291
0.155; -0.0153837
0.156; -0.0163517
0.157; -0.0173194
0.158; -0.018159
0.159; -0.0188539
0.16; -0.019525
0.161; -0.0203257
0.162; -0.0212975
0.163; -0.0223215
0.164; -0.0232169
0.165; -0.0239107
0.166; -0.0245174
0.167; -0.0252406
0.168; -0.0261853
0.169; -0.0272537
0.17; -0.0282218
0.171; -0.0289448
0.172; -0.0295019
0.173; -0.0301322
0.174; -0.0310167
0.175; -0.032106
0.176; -0.0331537
0.177; -0.0339363
0.178; -0.0344691
0.179; -0.0350028
0.18; -0.0357957
0.181; -0.0368737
0.182; -0.0379953
0.183; -0.0388635
0.184; -0.0394053
0.185; -0.0398513
0.186; -0.0405279
0.187; -0.0415563
0.188; -0.0427331
0.189; -0.0437043
0.19; -0.0442923
0.191; -0.0446726
0.192; -0.0452184
0.193; -0.0461576
0.194; -0.0473587
0.195; -0.0484382
0.196; -0.0491089
0.197; -0.0494568
0.198; -0.0498704
0.199; -0.0506841
0.2; -0.051869
0.201; -0.0530476
0.202; -0.0538316
0.203; -0.0541887
0.204; -0.0544834
0.205; -0.0551434
0.206; -0.0562658
0.207; -0.0575197
0.208; -0.0584372
0.209; -0.0588489
0.21; -0.0590526
0.211; -0.0595426
0.212; -0.0605551
0.213; -0.0618468
0.214; -0.0629042
0.215; -0.0634146
0.216; -0.0635677
0.217; -0.0638865
0.218; -0.064746
0.219; -0.0660274
0.22; -0.0672145
0.221; -0.0678609
0.222; -0.068013
0.223; -0.0681761
0.224; -0.0688486
0.225; -0.0700651
0.226; -0.071355
0.227; -0.072163
0.228; -0.0723683
0.229; -0.0724073
0.23; -0.0728725
0.231; -0.0739683
0.232; -0.0753187
0.233; -0.0762982
0.234; -0.0766093
0.235; -0.0765705
0.236; -0.0768249
0.237; -0.0777486
0.238; -0.0791048
0.239; -0.0802472
0.24; -0.0807098
0.241; -0.08065
0.242; -0.0807087
0.243; -0.0814191
0.244; -0.0827188
0.245; -0.0839965
0.246; -0.0846436
0.247; -0.0846252
0.248; -0.0845216
0.249; -0.0849921
0.25; -0.086171
0.251; -0.087539
0.252; -0.0883863
0.253; -0.088471
0.254; -0.0882551
0.255; -0.0884775
0.256; -0.0894754
0.257; -0.0908744
0.258; -0.0919175
0.259; -0.0921602
0.26; -0.0918944
0.261; -0.091881
0.262; -0.092648
0.263; -0.0940091
0.264; -0.0952224
0.265; -0.0956649
0.266; -0.095419
0.267; -0.0952025
0.268; -0.0957042
0.269; -0.0969552
0.27; -0.0982935
0.271; -0.0989594
0.272; -0.0988037
0.273; -0.0984355
0.274; -0.098657
0.275; -0.099729
0.276; -0.10113
0.277; -0.102022
0.278; -0.10202
0.279; -0.101567
0.28; -0.101515
0.281; -0.102349
0.282; -0.10374
0.283; -0.104836
0.284; -0.105041
0.285; -0.104577
0.286; -0.104281
0.287; -0.104834
0.288; -0.106135
0.289; -0.107393
0.29; -0.107837
0.291; -0.10744
0.292; -0.106952
0.293; -0.107199
0.294; -0.108335
0.295; -0.109692
0.296; -0.110385
0.297; -0.110129
0.298; -0.109515
0.299; -0.109458
0.3; -0.110359
0.301; -0.11174
0.302; -0.112668
0.303; -0.112615
0.304; -0.111954
0.305; -0.111616
0.306; -0.11223
0.307; -0.113551
0.308; -0.114677
0.309; -0.114868
0.31; -0.114244
0.311; -0.113672
0.312; -0.113966
0.313; -0.115143
0.314; -0.116407
0.315; -0.116865
0.316; -0.116358
0.317; -0.115618
0.318; -0.115583
0.319; -0.116541
0.32; -0.117867
0.321; -0.118584
0.322; -0.118266
0.323; -0.117439
0.324; -0.117092
0.325; -0.117767
0.326; -0.119069
0.327; -0.120016
0.328; -0.119939
0.329; -0.119111
0.33; -0.118494
0.331; -0.118845
0.332; -0.120034
0.333; -0.121156
0.334; -0.121351
0.335; -0.12061
0.336; -0.119784
0.337; -0.119792
0.338; -0.120786
0.339; -0.12201
0.34; -0.122482
0.341; -0.121906
0.342; -0.12095
0.343; -0.120623
0.344; -0.121351
0.345; -0.122591
0.346; -0.123318
0.347; -0.122969
0.348; -0.121972
0.349; -0.121343
0.35; -0.121754
0.351; -0.122918
0.352; -0.123853
0.353; -0.123773
0.354; -0.122825
0.355; -0.121952
0.356; -0.122016
0.357; -0.123017
0.358; -0.124092
0.359; -0.124296
0.36; -0.123482
0.361; -0.122438
0.362; -0.122154
0.363; -0.122915
0.364; -0.124047
0.365; -0.124523
0.366; -0.123913
0.367; -0.122787
0.368; -0.122179
0.369; -0.122639
0.37; -0.123737
0.371; -0.124448
0.372; -0.124093
0.373; -0.122975
0.374; -0.122092
0.375; -0.122214
0.376; -0.123187
0.377; -0.124071
0.378; -0.123998
0.379; -0.122977
0.38; -0.121888
0.381; -0.121659
0.382; -0.122425
0.383; -0.123405
0.384; -0.123612
0.385; -0.122765
0.386; -0.121553
0.387; -0.120989
0.388; -0.12148
0.389; -0.122468
0.39; -0.122927
0.391; -0.122313
0.392; -0.121068
0.393; -0.120207
0.394; -0.120379
0.395; -0.121283
0.396; -0.121943
0.397; -0.121597
0.398; -0.12041
0.399; -0.119314
0.4; -0.119144
0.401; -0.11988
0.402; -0.12067
0.403; -0.120602
0.404; -0.119552
0.405; -0.118298
0.406; -0.117791
