t; x
0; 10
0.01; 9.95
0.02; 9.80025
0.03; 9.55225
0.04; 9.20848
0.05; 8.77239
0.06; 8.24834
0.07; 7.64159
0.08; 6.95822
0.09; 6.20508
0.1; 5.38971
0.11; 4.52029
0.12; 3.60553
0.13; 2.6546
0.14; 1.67704
0.15; 0.682636
0.16; -0.318633
0.17; -1.31673
0.18; -2.30166
0.19; -3.26353
0.2; -4.19271
0.21; -5.07988
0.22; -5.91615
0.23; -6.69313
0.24; -7.40304
0.25; -8.03874
0.26; -8.59387
0.27; -9.06286
0.28; -9.44101
0.29; -9.72452
0.3; -9.91055
0.31; -9.99723
0.32; -9.9837
0.33; -9.87007
0.34; -9.65749
0.35; -9.3481
0.36; -8.94498
0.37; -8.45217
0.38; -7.87462
0.39; -7.21812
0.4; -6.48923
0.41; -5.69528
0.42; -4.84421
0.43; -3.94455
0.44; -3.00533
0.45; -2.03595
0.46; -1.04614
0.47; -0.0458191
0.48; 0.954987
0.49; 1.94624
0.5; 2.91802
0.51; 3.86056
0.52; 4.76442
0.53; 5.62055
0.54; 6.42034
0.55; 7.1558
0.56; 7.81953
0.57; 8.4049
0.58; 8.90601
0.59; 9.31786
0.6; 9.63631
0.61; 9.85816
0.62; 9.98118
0.63; 10.0042
0.64; 9.92683
0.65; 9.74999
0.66; 9.4754
0.67; 9.10582
0.68; 8.64494
0.69; 8.09738
0.7; 7.46863
0.71; 6.76499
0.72; 5.99352
0.73; 5.16194
0.74; 4.27859
0.75; 3.35233
0.76; 2.39244
0.77; 1.40854
0.78; 0.410493
0.79; -0.591693
0.8; -1.58797
0.81; -2.56836
0.82; -3.52302
0.83; -4.44239
0.84; -5.31724
0.85; -6.13881
0.86; -6.89886
0.87; -7.58977
0.88; -8.20461
0.89; -8.73721
0.9; -9.18224
0.91; -9.53522
0.92; -9.79262
0.93; -9.95186
0.94; -10.0113
0.95; -9.97045
0.96; -9.82961
0.97; -9.59022
0.98; -9.25468
0.99; -8.82636
1; -8.30954
1.01; -7.70941
1.02; -7.03198
1.03; -6.28403
1.04; -5.47306
1.05; -4.60721
1.06; -3.69515
1.07; -2.74603
1.08; -1.76935
1.09; -0.774904
1.1; 0.227331
1.11; 1.22731
1.12; 2.21501
1.13; 3.18054
1.14; 4.1142
1.15; 5.00664
1.16; 5.84891
1.17; 6.63256
1.18; 7.34975
1.19; 7.99327
1.2; 8.55667
1.21; 9.03431
1.22; 9.42139
1.23; 9.71403
1.24; 9.9093
1.25; 10.0052
1.26; 10.0009
1.27; 9.89623
1.28; 9.69238
1.29; 9.39137
1.3; 8.9962
1.31; 8.51084
1.32; 7.94014
1.33; 7.28982
1.34; 6.56641
1.35; 5.77716
1.36; 4.92997
1.37; 4.03333
1.38; 3.09624
1.39; 2.12808
1.4; 1.13857
1.41; 0.137615
1.42; -0.864743
1.43; -1.85846
1.44; -2.83356
1.45; -3.78029
1.46; -4.68914
1.47; -5.55101
1.48; -6.35724
1.49; -7.09977
1.5; -7.77114
1.51; -8.36462
1.52; -8.87426
1.53; -9.29495
1.54; -9.62247
1.55; -9.85353
1.56; -9.98582
1.57; -10.018
1.58; -9.94975
1.59; -9.78175
1.6; -9.51569
1.61; -9.15422
1.62; -8.70098
1.63; -8.1605
1.64; -7.53819
1.65; -6.8403
1.66; -6.07381
1.67; -5.24642
1.68; -4.36641
1.69; -3.44261
1.7; -2.48427
1.71; -1.501
1.72; -0.502661
1.73; 0.500743
1.74; 1.49915
1.75; 2.48256
1.76; 3.4411
1.77; 4.36517
1.78; 5.2455
1.79; 6.07327
1.8; 6.84017
1.81; 7.53852
1.82; 8.16131
1.83; 8.70231
1.84; 9.15607
1.85; 9.51806
1.86; 9.78464
1.87; 9.95313
1.88; 10.0218
1.89; 9.9901
1.9; 9.85819
1.91; 9.62746
1.92; 9.30021
1.93; 8.87971
1.94; 8.37018
1.95; 7.77673
1.96; 7.1053
1.97; 6.36263
1.98; 5.55615
1.99; 4.69395
2; 3.78467
2.01; 2.83743
2.02; 1.86172
2.03; 0.867323
2.04; -0.135796
2.05; -1.13758
2.06; -2.12798
2.07; -3.09708
2.08; -4.03515
2.09; -4.93279
2.1; -5.781
2.11; -6.57128
2.12; -7.2957
2.13; -7.94701
2.14; -8.51865
2.15; -9.00492
2.16; -9.40092
2.17; -9.70269
2.18; -9.90719
2.19; -10.0124
2.2; -10.0172
2.21; -9.9216
2.22; -9.72653
2.23; -9.43395
2.24; -9.04678
2.25; -8.56891
2.26; -8.00513
2.27; -7.36108
2.28; -6.64322
2.29; -5.85874
2.3; -5.01551
2.31; -4.12198
2.32; -3.1871
2.33; -2.22025
2.34; -1.23112
2.35; -0.229615
2.36; 0.774212
2.37; 1.7703
2.38; 2.74867
2.39; 3.69951
2.4; 4.61328
2.41; 5.48083
2.42; 6.29345
2.43; 7.04301
2.44; 7.72197
2.45; 8.32354
2.46; 8.84168
2.47; 9.2712
2.48; 9.60778
2.49; 9.84806
2.5; 9.98961
2.51; 10.031
2.52; 9.97187
2.53; 9.81275
2.54; 9.55526
2.55; 9.20196
2.56; 8.75641
2.57; 8.22307
2.58; 7.60727
2.59; 6.9152
2.6; 6.15378
2.61; 5.33065
2.62; 4.45407
2.63; 3.5328
2.64; 2.5761
2.65; 1.59355
2.66; 0.595004
2.67; -0.409536
2.68; -1.41
2.69; -2.39634
2.7; -3.35869
2.71; -4.2874
2.72; -5.17314
2.73; -6.00705
2.74; -6.78076
2.75; -7.48651
2.76; -8.11722
2.77; -8.66658
2.78; -9.12906
2.79; -9.50004
2.8; -9.77579
2.81; -9.95355
2.82; -10.0315
2.83; -10.0089
2.84; -9.88601
2.85; -9.66397
2.86; -9.34504
2.87; -8.93242
2.88; -8.43025
2.89; -7.84355
2.9; -7.1782
2.91; -6.44087
2.92; -5.63896
2.93; -4.78049
2.94; -3.87408
2.95; -2.92881
2.96; -1.95416
2.97; -0.959886
2.98; 0.0440328
2.99; 1.04753
3; 2.04056
3.01; 3.01315
3.02; 3.95557
3.03; 4.85835
3.04; 5.71244
3.05; 6.5093
3.06; 7.24091
3.07; 7.89996
3.08; 8.47982
3.09; 8.97469
3.1; 9.3796
3.11; 9.69049
3.12; 9.90424
3.13; 10.0187
3.14; 10.0327
3.15; 9.94618
3.16; 9.75992
3.17; 9.47582
3.18; 9.09671
3.19; 8.62639
3.2; 8.06959
3.21; 7.43187
3.22; 6.71963
3.23; 5.94001
3.24; 5.10082
3.25; 4.21048
3.26; 3.2779
3.27; 2.31244
3.28; 1.32377
3.29; 0.321812
3.3; -0.683402
3.31; -1.68179
3.32; -2.66334
3.33; -3.61822
3.34; -4.53685
3.35; -5.41002
3.36; -6.22898
3.37; -6.98551
3.38; -7.67203
3.39; -8.28165
3.4; -8.80827
3.41; -9.2466
3.42; -9.59224
3.43; -9.84173
3.44; -9.99256
3.45; -10.0432
3.46; -9.99319
3.47; -9.84299
3.48; -9.5941
3.49; -9.24903
3.5; -8.81123
3.51; -8.28508
3.52; -7.67586
