t; x
0; 0
0.01; 0.1
0.02; 0.199
0.03; 0.296007
0.04; 0.39005
0.05; 0.480185
0.06; 0.565507
0.07; 0.645163
0.08; 0.718353
0.09; 0.784344
0.1; 0.842473
0.11; 0.892158
0.12; 0.9329
0.13; 0.96429
0.14; 0.986015
0.15; 0.997855
0.16; 0.999692
0.17; 0.991508
0.18; 0.973383
0.19; 0.945499
0.2; 0.908136
0.21; 0.861669
0.22; 0.806561
0.23; 0.743367
0.24; 0.672719
0.25; 0.595325
0.26; 0.511961
0.27; 0.423462
0.28; 0.330716
0.29; 0.234653
0.3; 0.136234
0.31; 0.0364476
0.32; -0.063707
0.33; -0.163225
0.34; -0.26111
0.35; -0.356379
0.36; -0.448078
0.37; -0.535288
0.38; -0.617133
0.39; -0.692794
0.4; -0.761511
0.41; -0.822596
0.42; -0.875435
0.43; -0.9195
0.44; -0.954348
0.45; -0.97963
0.46; -0.995091
0.47; -1.00058
0.48; -0.996032
0.49; -0.981502
0.5; -0.957132
0.51; -0.923167
0.52; -0.879945
0.53; -0.827901
0.54; -0.767556
0.55; -0.699515
0.56; -0.62446
0.57; -0.543142
0.58; -0.456377
0.59; -0.365035
0.6; -0.270031
0.61; -0.172318
0.62; -0.072875
0.63; 0.0273012
0.64; 0.127206
0.65; 0.225838
0.66; 0.322209
0.67; 0.415352
0.68; 0.504334
0.69; 0.588261
0.7; 0.666294
0.71; 0.737649
0.72; 0.80161
0.73; 0.857537
0.74; 0.904869
0.75; 0.943131
0.76; 0.971938
0.77; 0.991003
0.78; 1.00013
0.79; 0.999238
0.8; 0.988325
0.81; 0.967503
0.82; 0.936982
0.83; 0.897067
0.84; 0.848158
0.85; 0.790745
0.86; 0.725403
0.87; 0.652787
0.88; 0.573626
0.89; 0.488711
0.9; 0.398896
0.91; 0.305079
0.92; 0.208201
0.93; 0.109234
0.94; 0.0091691
0.95; -0.0909901
0.96; -0.19024
0.97; -0.287585
0.98; -0.382049
0.99; -0.472685
1; -0.558586
1.01; -0.638888
1.02; -0.712788
1.03; -0.779544
1.04; -0.838486
1.05; -0.889024
1.06; -0.930651
1.07; -0.96295
1.08; -0.985595
1.09; -0.998361
1.1; -1.00112
1.11; -0.993839
1.12; -0.976597
1.13; -0.949563
1.14; -0.91301
1.15; -0.867303
1.16; -0.8129
1.17; -0.750347
1.18; -0.680269
1.19; -0.603371
1.2; -0.520421
1.21; -0.432252
1.22; -0.339748
1.23; -0.243835
1.24; -0.145476
1.25; -0.0456555
1.26; 0.0546251
1.27; 0.15436
1.28; 0.252551
1.29; 0.348212
1.3; 0.440385
1.31; 0.528145
1.32; 0.610612
1.33; 0.686961
1.34; 0.756424
1.35; 0.818306
1.36; 0.871986
1.37; 0.916926
1.38; 0.952675
1.39; 0.978874
1.4; 0.99526
1.41; 1.00167
1.42; 0.998037
1.43; 0.9844
1.44; 0.960893
1.45; 0.927753
1.46; 0.885311
1.47; 0.833993
1.48; 0.774313
1.49; 0.706869
1.5; 0.632337
1.51; 0.551464
1.52; 0.465061
1.53; 0.373993
1.54; 0.279173
1.55; 0.181553
1.56; 0.0821095
1.57; -0.0181592
1.58; -0.118248
1.59; -0.217155
1.6; -0.313886
1.61; -0.407474
1.62; -0.496979
1.63; -0.581504
1.64; -0.660201
1.65; -0.732282
1.66; -0.797024
1.67; -0.853777
1.68; -0.901972
1.69; -0.941126
1.7; -0.970847
1.71; -0.990835
1.72; -1.00089
1.73; -1.00091
1.74; -0.990901
1.75; -0.970955
1.76; -0.941275
1.77; -0.902157
1.78; -0.853995
1.79; -0.79727
1.8; -0.732551
1.81; -0.660486
1.82; -0.581799
1.83; -0.497277
1.84; -0.407767
1.85; -0.314168
1.86; -0.217416
1.87; -0.118483
1.88; -0.018359
1.89; 0.0819513
1.9; 0.181442
1.91; 0.279117
1.92; 0.373996
1.93; 0.465128
1.94; 0.5516
1.95; 0.632544
1.96; 0.707148
1.97; 0.774665
1.98; 0.834418
1.99; 0.885808
2; 0.928318
2.01; 0.961523
2.02; 0.98509
2.03; 0.998782
2.04; 1.00246
2.05; 0.996091
2.06; 0.979735
2.07; 0.953556
2.08; 0.917818
2.09; 0.872877
2.1; 0.819185
2.11; 0.757279
2.12; 0.68778
2.13; 0.611384
2.14; 0.528857
2.15; 0.441026
2.16; 0.348772
2.17; 0.253019
2.18; 0.154727
2.19; 0.0548811
2.2; -0.0455171
2.21; -0.145462
2.22; -0.24395
2.23; -0.339996
2.24; -0.432635
2.25; -0.52094
2.26; -0.604024
2.27; -0.681055
2.28; -0.751261
2.29; -0.813937
2.3; -0.868454
2.31; -0.914267
2.32; -0.950916
2.33; -0.978032
2.34; -0.995344
2.35; -1.00268
2.36; -0.999962
2.37; -0.98722
2.38; -0.964581
2.39; -0.932271
2.4; -0.890615
2.41; -0.840029
2.42; -0.78102
2.43; -0.714181
2.44; -0.64018
2.45; -0.559759
2.46; -0.473725
2.47; -0.382939
2.48; -0.288313
2.49; -0.190793
2.5; -0.0913587
2.51; 0.00899421
2.52; 0.109259
2.53; 0.208432
2.54; 0.305517
2.55; 0.399542
2.56; 0.489564
2.57; 0.57468
2.58; 0.654038
2.59; 0.72684
2.6; 0.792358
2.61; 0.849934
2.62; 0.898991
2.63; 0.939036
2.64; 0.969669
2.65; 0.990582
2.66; 1.00156
2.67; 1.00251
2.68; 0.993399
2.69; 0.974332
2.7; 0.945497
2.71; 0.907183
2.72; 0.859773
2.73; 0.803742
2.74; 0.739653
2.75; 0.668147
2.76; 0.589941
2.77; 0.50582
2.78; 0.416625
2.79; 0.323251
2.8; 0.226634
2.81; 0.127743
2.82; 0.0275689
2.83; -0.0728842
2.84; -0.172609
2.85; -0.270606
2.86; -0.365893
2.87; -0.457514
2.88; -0.54455
2.89; -0.62613
2.9; -0.701435
2.91; -0.76971
2.92; -0.83027
2.93; -0.882508
2.94; -0.925901
2.95; -0.960012
2.96; -0.9845
2.97; -0.999119
2.98; -1.00372
2.99; -0.998263
3; -0.982797
3.01; -0.957477
3.02; -0.922558
3.03; -0.87839
3.04; -0.825414
3.05; -0.764163
3.06; -0.695249
3.07; -0.619364
