t; x
0; 10
0.001; 10
0.002; 9.999
0.003; 9.997
0.004; 9.994
0.005; 9.99
0.006; 9.985
0.007; 9.979
0.008; 9.97201
0.009; 9.96401
0.01; 9.95502
0.011; 9.94503
0.012; 9.93405
0.013; 9.92207
0.014; 9.9091
0.015; 9.89514
0.016; 9.88018
0.017; 9.86424
0.018; 9.84731
0.019; 9.82939
0.02; 9.81048
0.021; 9.7906
0.022; 9.76973
0.023; 9.74788
0.024; 9.72506
0.025; 9.70126
0.026; 9.67649
0.027; 9.65075
0.028; 9.62404
0.029; 9.59637
0.03; 9.56773
0.031; 9.53814
0.032; 9.50759
0.033; 9.47608
0.034; 9.44362
0.035; 9.41022
0.036; 9.37587
0.037; 9.34058
0.038; 9.30435
0.039; 9.26719
0.04; 9.2291
0.041; 9.19008
0.042; 9.15014
0.043; 9.10928
0.044; 9.0675
0.045; 9.02482
0.046; 8.98123
0.047; 8.93673
0.048; 8.89134
0.049; 8.84505
0.05; 8.79787
0.051; 8.74981
0.052; 8.70087
0.053; 8.65105
0.054; 8.60037
0.055; 8.54882
0.056; 8.49641
0.057; 8.44314
0.058; 8.38902
0.059; 8.33406
0.06; 8.27827
0.061; 8.22163
0.062; 8.16417
0.063; 8.10589
0.064; 8.04679
0.065; 7.98688
0.066; 7.92617
0.067; 7.86466
0.068; 7.80235
0.069; 7.73926
0.07; 7.67539
0.071; 7.61074
0.072; 7.54533
0.073; 7.47915
0.074; 7.41223
0.075; 7.34455
0.076; 7.27613
0.077; 7.20698
0.078; 7.1371
0.079; 7.0665
0.08; 6.99518
0.081; 6.92316
0.082; 6.85044
0.083; 6.77703
0.084; 6.70293
0.085; 6.62815
0.086; 6.55271
0.087; 6.4766
0.088; 6.39983
0.089; 6.32242
0.09; 6.24437
0.091; 6.16569
0.092; 6.08638
0.093; 6.00645
0.094; 5.92592
0.095; 5.84478
0.096; 5.76306
0.097; 5.68075
0.098; 5.59786
0.099; 5.5144
0.1; 5.43039
0.101; 5.34582
0.102; 5.26071
0.103; 5.17506
0.104; 5.08889
0.105; 5.00221
0.106; 4.91501
0.107; 4.82731
0.108; 4.73912
0.109; 4.65045
0.11; 4.56131
0.111; 4.47169
0.112; 4.38163
0.113; 4.29111
0.114; 4.20016
0.115; 4.10878
0.116; 4.01698
0.117; 3.92477
0.118; 3.83215
0.119; 3.73915
0.12; 3.64576
0.121; 3.55199
0.122; 3.45787
0.123; 3.36338
0.124; 3.26856
0.125; 3.17339
0.126; 3.0779
0.127; 2.98209
0.128; 2.88597
0.129; 2.78956
0.13; 2.69285
0.131; 2.59587
0.132; 2.49862
0.133; 2.4011
0.134; 2.30334
0.135; 2.20534
0.136; 2.10711
0.137; 2.00866
0.138; 1.90999
0.139; 1.81113
0.14; 1.71207
0.141; 1.61284
0.142; 1.51343
0.143; 1.41386
0.144; 1.31414
0.145; 1.21428
0.146; 1.11429
0.147; 1.01417
0.148; 0.913945
0.149; 0.813618
0.15; 0.713199
0.151; 0.612699
0.152; 0.512128
0.153; 0.411495
0.154; 0.310812
0.155; 0.210087
0.156; 0.109331
0.157; 0.00855345
0.158; -0.0922346
0.159; -0.193023
0.16; -0.293803
0.161; -0.394563
0.162; -0.495294
0.163; -0.595986
0.164; -0.696628
0.165; -0.79721
0.166; -0.897723
0.167; -0.998156
0.168; -1.0985
0.169; -1.19874
0.17; -1.29888
0.171; -1.39889
0.172; -1.49877
0.173; -1.59852
0.174; -1.69811
0.175; -1.79755
0.176; -1.89681
0.177; -1.99589
0.178; -2.09479
0.179; -2.19348
0.18; -2.29197
0.181; -2.39024
0.182; -2.48827
0.183; -2.58607
0.184; -2.68362
0.185; -2.78091
0.186; -2.87794
0.187; -2.97468
0.188; -3.07114
0.189; -3.1673
0.19; -3.26315
0.191; -3.35868
0.192; -3.45389
0.193; -3.54877
0.194; -3.64329
0.195; -3.73747
0.196; -3.83127
0.197; -3.92471
0.198; -4.01776
0.199; -4.11042
0.2; -4.20268
0.201; -4.29452
0.202; -4.38595
0.203; -4.47695
0.204; -4.5675
0.205; -4.65761
0.206; -4.74727
0.207; -4.83646
0.208; -4.92517
0.209; -5.0134
0.21; -5.10114
0.211; -5.18837
0.212; -5.2751
0.213; -5.3613
0.214; -5.44698
0.215; -5.53213
0.216; -5.61672
0.217; -5.70077
0.218; -5.78425
0.219; -5.86717
0.22; -5.9495
0.221; -6.03125
0.222; -6.1124
0.223; -6.19295
0.224; -6.27289
0.225; -6.35221
0.226; -6.4309
0.227; -6.50896
0.228; -6.58637
0.229; -6.66314
0.23; -6.73924
0.231; -6.81468
0.232; -6.88944
0.233; -6.96353
0.234; -7.03692
0.235; -7.10962
0.236; -7.18161
0.237; -7.2529
0.238; -7.32346
0.239; -7.3933
0.24; -7.46241
0.241; -7.53077
0.242; -7.5984
0.243; -7.66526
0.244; -7.73137
0.245; -7.79671
0.246; -7.86128
0.247; -7.92507
0.248; -7.98808
0.249; -8.05029
0.25; -8.1117
0.251; -8.1723
0.252; -8.2321
0.253; -8.29108
0.254; -8.34923
0.255; -8.40656
0.256; -8.46305
0.257; -8.5187
0.258; -8.5735
0.259; -8.62746
0.26; -8.68055
0.261; -8.73278
0.262; -8.78415
0.263; -8.83464
0.264; -8.88425
0.265; -8.93298
0.266; -8.98082
0.267; -9.02777
0.268; -9.07382
0.269; -9.11896
0.27; -9.1632
0.271; -9.20653
0.272; -9.24894
0.273; -9.29043
0.274; -9.331
0.275; -9.37063
0.276; -9.40934
0.277; -9.4471
0.278; -9.48393
0.279; -9.51981
0.28; -9.55474
0.281; -9.58872
0.282; -9.62174
0.283; -9.65381
0.284; -9.68491
0.285; -9.71505
0.286; -9.74422
0.287; -9.77242
0.288; -9.79964
0.289; -9.82589
0.29; -9.85115
0.291; -9.87544
0.292; -9.89874
0.293; -9.92105
0.294; -9.94237
0.295; -9.9627
0.296; -9.98203
0.297; -10.0004
0.298; -10.0177
0.299; -10.0341
0.3; -10.0494
0.301; -10.0637
0.302; -10.0771
0.303; -10.0894
0.304; -10.1007
0.305; -10.111
0.306; -10.1203
0.307; -10.1286
0.308; -10.1359
0.309; -10.1421
0.31; -10.1474
0.311; -10.1516
0.312; -10.1548
0.313; -10.157
0.314; -10.1582
0.315; -10.1584
0.316; -10.1575
0.317; -10.1557
0.318; -10.1528
0.319; -10.1489
0.32; -10.144
0.321; -10.1381
0.322; -10.1312
0.323; -10.1232
0.324; -10.1142
0.325; -10.1043
0.326; -10.0933
0.327; -10.0813
0.328; -10.0683
