t; x
0; 10
0.001; 9.9995
0.002; 9.998
0.003; 9.9955
0.004; 9.992
0.005; 9.9875
0.006; 9.982
0.007; 9.97551
0.008; 9.96802
0.009; 9.95953
0.01; 9.95004
0.011; 9.93956
0.012; 9.92808
0.013; 9.91562
0.014; 9.90216
0.015; 9.88771
0.016; 9.87227
0.017; 9.85584
0.018; 9.83843
0.019; 9.82004
0.02; 9.80066
0.021; 9.7803
0.022; 9.75897
0.023; 9.73666
0.024; 9.71337
0.025; 9.68911
0.026; 9.66389
0.027; 9.6377
0.028; 9.61054
0.029; 9.58243
0.03; 9.55335
0.031; 9.52332
0.032; 9.49234
0.033; 9.46041
0.034; 9.42753
0.035; 9.39371
0.036; 9.35895
0.037; 9.32325
0.038; 9.28662
0.039; 9.24907
0.04; 9.21058
0.041; 9.17118
0.042; 9.13086
0.043; 9.08963
0.044; 9.04749
0.045; 9.00444
0.046; 8.96049
0.047; 8.91565
0.048; 8.86991
0.049; 8.82329
0.05; 8.77579
0.051; 8.7274
0.052; 8.67815
0.053; 8.62803
0.054; 8.57704
0.055; 8.5252
0.056; 8.4725
0.057; 8.41896
0.058; 8.36457
0.059; 8.30935
0.06; 8.2533
0.061; 8.19642
0.062; 8.13873
0.063; 8.08021
0.064; 8.02089
0.065; 7.96077
0.066; 7.89986
0.067; 7.83815
0.068; 7.77566
0.069; 7.71239
0.07; 7.64835
0.071; 7.58354
0.072; 7.51798
0.073; 7.45166
0.074; 7.3846
0.075; 7.3168
0.076; 7.24827
0.077; 7.17902
0.078; 7.10904
0.079; 7.03836
0.08; 6.96697
0.081; 6.89489
0.082; 6.82211
0.083; 6.74866
0.084; 6.67452
0.085; 6.59973
0.086; 6.52427
0.087; 6.44816
0.088; 6.3714
0.089; 6.29401
0.09; 6.21598
0.091; 6.13734
0.092; 6.05808
0.093; 5.97822
0.094; 5.89775
0.095; 5.8167
0.096; 5.73507
0.097; 5.65286
0.098; 5.57009
0.099; 5.48676
0.1; 5.40288
0.101; 5.31847
0.102; 5.23352
0.103; 5.14804
0.104; 5.06205
0.105; 4.97556
0.106; 4.88857
0.107; 4.80109
0.108; 4.71313
0.109; 4.62469
0.11; 4.5358
0.111; 4.44645
0.112; 4.35666
0.113; 4.26643
0.114; 4.17577
0.115; 4.0847
0.116; 3.99322
0.117; 3.90134
0.118; 3.80907
0.119; 3.71642
0.12; 3.62339
0.121; 3.53001
0.122; 3.43627
0.123; 3.34218
0.124; 3.24777
0.125; 3.15303
0.126; 3.05797
0.127; 2.96261
0.128; 2.86695
0.129; 2.771
0.13; 2.67478
0.131; 2.57829
0.132; 2.48154
0.133; 2.38455
0.134; 2.28731
0.135; 2.18985
0.136; 2.09217
0.137; 1.99427
0.138; 1.89618
0.139; 1.7979
0.14; 1.69944
0.141; 1.60081
0.142; 1.50202
0.143; 1.40308
0.144; 1.304
0.145; 1.20479
0.146; 1.10546
0.147; 1.00601
0.148; 0.906471
0.149; 0.806837
0.15; 0.707123
0.151; 0.607338
0.152; 0.507492
0.153; 0.407595
0.154; 0.307658
0.155; 0.20769
0.156; 0.107701
0.157; 0.00770161
0.158; -0.0922988
0.159; -0.19229
0.16; -0.292262
0.161; -0.392205
0.162; -0.492108
0.163; -0.591962
0.164; -0.691757
0.165; -0.791483
0.166; -0.89113
0.167; -0.990688
0.168; -1.09015
0.169; -1.1895
0.17; -1.28873
0.171; -1.38783
0.172; -1.48679
0.173; -1.58561
0.174; -1.68426
0.175; -1.78275
0.176; -1.88106
0.177; -1.97918
0.178; -2.0771
0.179; -2.17482
0.18; -2.27231
0.181; -2.36958
0.182; -2.46662
0.183; -2.5634
0.184; -2.65993
0.185; -2.7562
0.186; -2.85219
0.187; -2.94789
0.188; -3.0433
0.189; -3.13841
0.19; -3.2332
0.191; -3.32766
0.192; -3.4218
0.193; -3.51559
0.194; -3.60903
0.195; -3.70211
0.196; -3.79482
0.197; -3.88715
0.198; -3.97909
0.199; -4.07064
0.2; -4.16177
0.201; -4.25249
0.202; -4.34279
0.203; -4.43265
0.204; -4.52207
0.205; -4.61103
0.206; -4.69954
0.207; -4.78757
0.208; -4.87512
0.209; -4.96219
0.21; -5.04876
0.211; -5.13483
0.212; -5.22038
0.213; -5.30542
0.214; -5.38992
0.215; -5.47388
0.216; -5.55729
0.217; -5.64015
0.218; -5.72245
0.219; -5.80417
0.22; -5.88531
0.221; -5.96586
0.222; -6.04582
0.223; -6.12517
0.224; -6.20391
0.225; -6.28203
0.226; -6.35952
0.227; -6.43638
0.228; -6.51259
0.229; -6.58815
0.23; -6.66305
0.231; -6.73728
0.232; -6.81084
0.233; -6.88372
0.234; -6.95592
0.235; -7.02741
0.236; -7.0982
0.237; -7.16829
0.238; -7.23765
0.239; -7.3063
0.24; -7.37421
0.241; -7.44138
0.242; -7.50781
0.243; -7.57349
0.244; -7.63842
0.245; -7.70258
0.246; -7.76596
0.247; -7.82858
0.248; -7.8904
0.249; -7.95144
0.25; -8.01169
0.251; -8.07113
0.252; -8.12977
0.253; -8.18759
0.254; -8.2446
0.255; -8.30077
0.256; -8.35612
0.257; -8.41064
0.258; -8.46431
0.259; -8.51714
0.26; -8.56911
0.261; -8.62023
0.262; -8.67049
0.263; -8.71988
0.264; -8.76839
0.265; -8.81603
0.266; -8.86279
0.267; -8.90866
0.268; -8.95364
0.269; -8.99773
0.27; -9.04092
0.271; -9.0832
0.272; -9.12457
0.273; -9.16503
0.274; -9.20458
0.275; -9.2432
0.276; -9.2809
0.277; -9.31767
0.278; -9.35351
0.279; -9.38842
0.28; -9.42238
0.281; -9.45541
0.282; -9.48748
0.283; -9.51861
0.284; -9.54879
0.285; -9.57801
0.286; -9.60628
0.287; -9.63358
0.288; -9.65992
0.289; -9.6853
0.29; -9.7097
0.291; -9.73314
0.292; -9.7556
0.293; -9.77708
0.294; -9.79759
0.295; -9.81712
0.296; -9.83567
0.297; -9.85323
0.298; -9.86981
0.299; -9.8854
0.3; -9.9
0.301; -9.91361
0.302; -9.92623
0.303; -9.93786
0.304; -9.94849
0.305; -9.95813
0.306; -9.96678
0.307; -9.97442
0.308; -9.98107
0.309; -9.98672
0.31; -9.99138
0.311; -9.99503
0.312; -9.99768
0.313; -9.99934
0.314; -9.99999
0.315; -9.99965
0.316; -9.9983
0.317; -9.99595
0.318; -9.99261
0.319; -9.98826
0.32; -9.98292
0.321; -9.97658
0.322; -9.96924
0.323; -9.9609
0.324; -9.95157
0.325; -9.94124
0.326; -9.92992
0.327; -9.91761
0.328; -9.9043
0.329; -9.89
0.33; -9.87471
0.331; -9.85844
0.332; -9.84118
0.333; -9.82294
0.334; -9.80371
0.335; -9.78351
0.336; -9.76232
0.337; -9.74016
0.338; -9.71702
0.339; -9.69292
0.34; -9.66784
0.341; -9.6418
0.342; -9.61479
0.343; -9.58682
0.344; -9.55789
0.345; -9.52801
0.346; -9.49718
0.347; -9.46539
0.348; -9.43266
0.349; -9.39898
0.35; -9.36437
0.351; -9.32881
0.352; -9.29233
0.353; -9.25492
0.354; -9.21658
0.355; -9.17731
0.356; -9.13714
0.357; -9.09604
0.358; -9.05404
0.359; -9.01113
0.36; -8.96732
0.361; -8.92262
0.362; -8.87702
0.363; -8.83053
0.364; -8.78316
0.365; -8.73492
0.366; -8.6858
0.367; -8.63581
0.368; -8.58495
0.369; -8.53324
0.37; -8.48068
0.371; -8.42726
0.372; -8.37301
0.373; -8.31792
0.374; -8.26199
0.375; -8.20524
0.376; -8.14767
0.377; -8.08928
0.378; -8.03009
0.379; -7.97009
0.38; -7.90929
0.381; -7.84771
0.382; -7.78534
0.383; -7.72219
0.384; -7.65826
0.385; -7.59358
0.386; -7.52813
0.387; -7.46193
0.388; -7.39498
0.389; -7.3273
0.39; -7.25888
0.391; -7.18974
0.392; -7.11987
