t;x
0; 10
0.001; 10.001
0.002; 10.002
0.003; 10.003
0.004; 10.004
0.005; 10.005
0.006; 10.006
0.007; 10.007
0.008; 10.008
0.009; 10.009
0.01; 10.01
0.011; 10.011
0.012; 10.012
0.013; 10.013
0.014; 10.014
0.015; 10.015
0.016; 10.016
0.017; 10.017
0.018; 10.018
0.019; 10.019
0.02; 10.02
0.021; 10.021
0.022; 10.022
0.023; 10.023
0.024; 10.024
0.025; 10.025
0.026; 10.026
0.027; 10.027
0.028; 10.028
0.029; 10.029
0.03; 10.03
0.031; 10.031
0.032; 10.032
0.033; 10.033
0.034; 10.034
0.035; 10.035
0.036; 10.036
0.037; 10.037
0.038; 10.038
0.039; 10.039
0.04; 10.04
0.041; 10.041
0.042; 10.042
0.043; 10.043
0.044; 10.044
0.045; 10.045
0.046; 10.046
0.047; 10.047
0.048; 10.048
0.049; 10.049
0.05; 10.05
0.051; 10.051
0.052; 10.052
0.053; 10.053
0.054; 10.054
0.055; 10.055
0.056; 10.056
0.057; 10.057
0.058; 10.058
0.059; 10.059
0.06; 10.06
0.061; 10.061
0.062; 10.062
0.063; 10.063
0.064; 10.064
0.065; 10.065
0.066; 10.066
0.067; 10.067
0.068; 10.068
0.069; 10.069
0.07; 10.07
0.071; 10.071
0.072; 10.072
0.073; 10.073
0.074; 10.074
0.075; 10.075
0.076; 10.076
0.077; 10.077
0.078; 10.078
0.079; 10.079
0.08; 10.08
0.081; 10.081
0.082; 10.082
0.083; 10.083
0.084; 10.084
0.085; 10.085
0.086; 10.086
0.087; 10.087
0.088; 10.088
0.089; 10.089
0.09; 10.09
0.091; 10.091
0.092; 10.092
0.093; 10.093
0.094; 10.094
0.095; 10.095
0.096; 10.096
0.097; 10.097
0.098; 10.098
0.099; 10.099
0.1; 10.1
0.101; 10.101
0.102; 10.102
0.103; 10.103
0.104; 10.104
0.105; 10.105
0.106; 10.106
0.107; 10.107
0.108; 10.108
0.109; 10.109
0.11; 10.11
0.111; 10.111
0.112; 10.112
0.113; 10.113
0.114; 10.114
0.115; 10.115
0.116; 10.116
0.117; 10.117
0.118; 10.118
0.119; 10.119
0.12; 10.12
0.121; 10.121
0.122; 10.122
0.123; 10.123
0.124; 10.124
0.125; 10.125
0.126; 10.126
0.127; 10.127
0.128; 10.128
0.129; 10.129
0.13; 10.13
0.131; 10.131
0.132; 10.132
0.133; 10.133
0.134; 10.134
0.135; 10.135
0.136; 10.136
0.137; 10.137
0.138; 10.138
0.139; 10.139
0.14; 10.14
0.141; 10.141
0.142; 10.142
0.143; 10.143
0.144; 10.144
0.145; 10.145
0.146; 10.146
0.147; 10.147
0.148; 10.148
0.149; 10.149
0.15; 10.15
0.151; 10.151
0.152; 10.152
0.153; 10.153
0.154; 10.154
0.155; 10.155
0.156; 10.156
0.157; 10.157
0.158; 10.158
0.159; 10.159
0.16; 10.16
0.161; 10.161
0.162; 10.162
0.163; 10.163
0.164; 10.164
0.165; 10.165
0.166; 10.166
0.167; 10.167
0.168; 10.168
0.169; 10.169
0.17; 10.17
0.171; 10.171
0.172; 10.172
0.173; 10.173
0.174; 10.174
0.175; 10.175
0.176; 10.176
0.177; 10.177
0.178; 10.178
0.179; 10.179
0.18; 10.18
0.181; 10.181
0.182; 10.182
0.183; 10.183
0.184; 10.184
0.185; 10.185
0.186; 10.186
0.187; 10.187
0.188; 10.188
0.189; 10.189
0.19; 10.19
0.191; 10.191
0.192; 10.192
0.193; 10.193
0.194; 10.194
0.195; 10.195
0.196; 10.196
0.197; 10.197
0.198; 10.198
0.199; 10.199
0.2; 10.2
0.201; 10.201
0.202; 10.202
0.203; 10.203
0.204; 10.204
0.205; 10.205
0.206; 10.206
0.207; 10.207
0.208; 10.208
0.209; 10.209
0.21; 10.21
0.211; 10.211
0.212; 10.212
0.213; 10.213
0.214; 10.214
0.215; 10.215
0.216; 10.216
0.217; 10.217
0.218; 10.218
0.219; 10.219
0.22; 10.22
0.221; 10.221
0.222; 10.222
0.223; 10.223
0.224; 10.224
0.225; 10.225
0.226; 10.226
0.227; 10.227
0.228; 10.228
0.229; 10.229
0.23; 10.23
0.231; 10.231
0.232; 10.232
0.233; 10.233
0.234; 10.234
0.235; 10.235
0.236; 10.236
0.237; 10.237
0.238; 10.238
0.239; 10.239
0.24; 10.24
0.241; 10.241
0.242; 10.242
0.243; 10.243
0.244; 10.244
0.245; 10.245
0.246; 10.246
0.247; 10.247
0.248; 10.248
0.249; 10.249
0.25; 10.25
0.251; 10.251
0.252; 10.252
0.253; 10.253
0.254; 10.254
0.255; 10.255
0.256; 10.256
0.257; 10.257
0.258; 10.258
0.259; 10.259
0.26; 10.26
0.261; 10.261
0.262; 10.262
0.263; 10.263
0.264; 10.264
0.265; 10.265
0.266; 10.266
0.267; 10.267
0.268; 10.268
0.269; 10.269
0.27; 10.27
0.271; 10.271
0.272; 10.272
0.273; 10.273
0.274; 10.274
0.275; 10.275
0.276; 10.276
0.277; 10.277
0.278; 10.278
0.279; 10.279
0.28; 10.28
0.281; 10.281
0.282; 10.282
0.283; 10.283
0.284; 10.284
0.285; 10.285
0.286; 10.286
0.287; 10.287
0.288; 10.288
0.289; 10.289
0.29; 10.29
0.291; 10.291
0.292; 10.292
0.293; 10.293
0.294; 10.294
0.295; 10.295
0.296; 10.296
0.297; 10.297
0.298; 10.298
0.299; 10.299
0.3; 10.3
0.301; 10.301
0.302; 10.302
