t; x
0; 0
0.001; 0.00980248
0.002; 0.0192196
0.003; 0.0282657
0.004; 0.0369542
0.005; 0.0452984
0.006; 0.0533111
0.007; 0.0610043
0.008; 0.0683899
0.009; 0.0754791
0.01; 0.0822831
0.011; 0.0888121
0.012; 0.0950765
0.013; 0.101086
0.014; 0.10685
0.015; 0.112377
0.016; 0.117677
0.017; 0.122757
0.018; 0.127626
0.019; 0.132292
0.02; 0.136761
0.021; 0.141042
0.022; 0.145142
0.023; 0.149066
0.024; 0.152822
0.025; 0.156416
0.026; 0.159853
0.027; 0.16314
0.028; 0.166282
0.029; 0.169285
0.03; 0.172153
0.031; 0.174892
0.032; 0.177506
0.033; 0.180001
0.034; 0.18238
0.035; 0.184648
0.036; 0.186809
0.037; 0.188866
0.038; 0.190825
0.039; 0.192688
0.04; 0.194459
0.041; 0.196142
0.042; 0.197739
0.043; 0.199255
0.044; 0.200691
0.045; 0.202052
0.046; 0.203339
0.047; 0.204556
0.048; 0.205705
0.049; 0.206789
0.05; 0.20781
0.051; 0.208771
0.052; 0.209673
0.053; 0.21052
0.054; 0.211313
0.055; 0.212054
0.056; 0.212745
0.057; 0.213388
0.058; 0.213985
0.059; 0.214538
0.06; 0.215048
0.061; 0.215517
0.062; 0.215946
0.063; 0.216338
0.064; 0.216692
0.065; 0.217012
0.066; 0.217298
0.067; 0.217551
0.068; 0.217774
0.069; 0.217966
0.07; 0.218129
0.071; 0.218264
0.072; 0.218373
0.073; 0.218456
0.074; 0.218514
0.075; 0.218549
0.076; 0.218561
0.077; 0.218551
0.078; 0.218519
0.079; 0.218468
0.08; 0.218398
0.081; 0.218308
0.082; 0.218201
0.083; 0.218077
0.084; 0.217936
0.085; 0.217779
0.086; 0.217607
0.087; 0.21742
0.088; 0.21722
0.089; 0.217006
0.09; 0.216779
0.091; 0.21654
0.092; 0.216289
0.093; 0.216027
0.094; 0.215753
0.095; 0.21547
0.096; 0.215176
0.097; 0.214872
0.098; 0.21456
0.099; 0.214239
0.1; 0.213909
0.101; 0.213571
0.102; 0.213226
0.103; 0.212873
0.104; 0.212514
0.105; 0.212147
0.106; 0.211774
0.107; 0.211395
0.108; 0.21101
0.109; 0.21062
0.11; 0.210224
0.111; 0.209823
0.112; 0.209417
0.113; 0.209007
0.114; 0.208592
0.115; 0.208173
0.116; 0.20775
0.117; 0.207323
0.118; 0.206893
0.119; 0.206459
0.12; 0.206022
0.121; 0.205582
0.122; 0.205139
0.123; 0.204693
0.124; 0.204245
0.125; 0.203795
0.126; 0.203341
0.127; 0.202886
0.128; 0.202429
0.129; 0.20197
0.13; 0.201509
0.131; 0.201046
0.132; 0.200582
0.133; 0.200117
0.134; 0.19965
0.135; 0.199181
0.136; 0.198712
0.137; 0.198241
0.138; 0.19777
0.139; 0.197298
0.14; 0.196824
0.141; 0.19635
0.142; 0.195876
0.143; 0.195401
0.144; 0.194925
0.145; 0.194449
0.146; 0.193972
