t; x
0; 0
0.001; 0.0098
0.002; 0.0192149
0.003; 0.0282588
0.004; 0.0369453
0.005; 0.0452878
0.006; 0.0532987
0.007; 0.0609904
0.008; 0.0683746
0.009; 0.0754626
0.01; 0.0822654
0.011; 0.0887934
0.012; 0.0950567
0.013; 0.101065
0.014; 0.106828
0.015; 0.112355
0.016; 0.117654
0.017; 0.122734
0.018; 0.127602
0.019; 0.132268
0.02; 0.136737
0.021; 0.141018
0.022; 0.145117
0.023; 0.149041
0.024; 0.152797
0.025; 0.156391
0.026; 0.159828
0.027; 0.163115
0.028; 0.166257
0.029; 0.16926
0.03; 0.172128
0.031; 0.174867
0.032; 0.177481
0.033; 0.179976
0.034; 0.182355
0.035; 0.184623
0.036; 0.186784
0.037; 0.188842
0.038; 0.190801
0.039; 0.192665
0.04; 0.194436
0.041; 0.196119
0.042; 0.197717
0.043; 0.199232
0.044; 0.200669
0.045; 0.20203
0.046; 0.203318
0.047; 0.204535
0.048; 0.205684
0.049; 0.206769
0.05; 0.20779
0.051; 0.208751
0.052; 0.209654
0.053; 0.210501
0.054; 0.211294
0.055; 0.212036
0.056; 0.212727
0.057; 0.213371
0.058; 0.213968
0.059; 0.214521
0.06; 0.215032
0.061; 0.215501
0.062; 0.215931
0.063; 0.216322
0.064; 0.216677
0.065; 0.216997
0.066; 0.217284
0.067; 0.217537
0.068; 0.21776
0.069; 0.217952
0.07; 0.218116
0.071; 0.218251
0.072; 0.21836
0.073; 0.218444
0.074; 0.218502
0.075; 0.218537
0.076; 0.218549
0.077; 0.218539
0.078; 0.218509
0.079; 0.218458
0.08; 0.218387
0.081; 0.218298
0.082; 0.218191
0.083; 0.218067
0.084; 0.217926
0.085; 0.21777
0.086; 0.217598
0.087; 0.217412
0.088; 0.217212
0.089; 0.216998
0.09; 0.216771
0.091; 0.216532
0.092; 0.216281
0.093; 0.216019
0.094; 0.215746
0.095; 0.215463
0.096; 0.215169
0.097; 0.214866
0.098; 0.214554
0.099; 0.214233
0.1; 0.213903
0.101; 0.213566
0.102; 0.21322
0.103; 0.212868
0.104; 0.212508
0.105; 0.212142
0.106; 0.211769
0.107; 0.21139
0.108; 0.211005
0.109; 0.210615
0.11; 0.210219
0.111; 0.209818
0.112; 0.209413
0.113; 0.209002
0.114; 0.208588
0.115; 0.208169
0.116; 0.207746
0.117; 0.207319
0.118; 0.206889
0.119; 0.206456
0.12; 0.206019
0.121; 0.205579
0.122; 0.205136
0.123; 0.20469
0.124; 0.204242
0.125; 0.203792
0.126; 0.203339
0.127; 0.202884
0.128; 0.202426
0.129; 0.201967
0.13; 0.201507
0.131; 0.201044
0.132; 0.20058
0.133; 0.200114
0.134; 0.199647
0.135; 0.199179
0.136; 0.19871
0.137; 0.198239
0.138; 0.197768
0.139; 0.197296
0.14; 0.196823
0.141; 0.196349
0.142; 0.195874
0.143; 0.195399
0.144; 0.194923
0.145; 0.194447
0.146; 0.193971
0.147; 0.193494
0.148; 0.193017
0.149; 0.192539
0.15; 0.192062
0.151; 0.191584
0.152; 0.191107
0.153; 0.190629
0.154; 0.190151
0.155; 0.189674
0.156; 0.189197
0.157; 0.188719
0.158; 0.188242
0.159; 0.187766
0.16; 0.187289
0.161; 0.186813
0.162; 0.186337
0.163; 0.185862
0.164; 0.185387
0.165; 0.184912
0.166; 0.184438
0.167; 0.183965
0.168; 0.183492
0.169; 0.183019
0.17; 0.182548
0.171; 0.182076
0.172; 0.181606
0.173; 0.181136
0.174; 0.180667
0.175; 0.180198
0.176; 0.17973
0.177; 0.179263
0.178; 0.178796
0.179; 0.178331
0.18; 0.177866
0.181; 0.177402
0.182; 0.176939
0.183; 0.176476
0.184; 0.176014
0.185; 0.175554
0.186; 0.175094
0.187; 0.174635
0.188; 0.174177
0.189; 0.173719
0.19; 0.173263
0.191; 0.172807
0.192; 0.172353
0.193; 0.171899
0.194; 0.171447
0.195; 0.170995
0.196; 0.170544
0.197; 0.170094
0.198; 0.169645
0.199; 0.169198
0.2; 0.168751
0.201; 0.168305
0.202; 0.16786
0.203; 0.167416
0.204; 0.166973
0.205; 0.166531
0.206; 0.16609
0.207; 0.16565
0.208; 0.165211
0.209; 0.164773
0.21; 0.164336
0.211; 0.1639
0.212; 0.163466
0.213; 0.163032
0.214; 0.162599
0.215; 0.162167
0.216; 0.161736
0.217; 0.161307
0.218; 0.160878
0.219; 0.160451
0.22; 0.160024
0.221; 0.159598
0.222; 0.159174
0.223; 0.15875
0.224; 0.158328
0.225; 0.157907
0.226; 0.157486
0.227; 0.157067
0.228; 0.156649
0.229; 0.156232
0.23; 0.155815
0.231; 0.1554
