t; x
0; 5
0.01; 4.97006
0.02; 4.90054
0.03; 4.79224
0.04; 4.64629
0.05; 4.46422
0.06; 4.24793
0.07; 3.99964
0.08; 3.72187
0.09; 3.41746
0.1; 3.08949
0.11; 2.74126
0.12; 2.37629
0.13; 1.99824
0.14; 1.6109
0.15; 1.21813
0.16; 0.82386
0.17; 0.432008
0.18; 0.0464646
0.19; -0.328952
0.2; -0.690533
0.21; -1.03472
0.22; -1.35812
0.23; -1.65758
0.24; -1.93018
0.25; -2.17327
0.26; -2.38452
0.27; -2.56189
0.28; -2.70372
0.29; -2.80868
0.3; -2.87583
0.31; -2.90461
0.32; -2.89483
0.33; -2.8467
0.34; -2.76081
0.35; -2.63813
0.36; -2.47997
0.37; -2.28804
0.38; -2.06435
0.39; -1.81123
0.4; -1.5313
0.41; -1.22746
0.42; -0.902815
0.43; -0.560693
0.44; -0.204586
0.45; 0.161883
0.46; 0.534992
0.47; 0.91096
0.48; 1.28598
0.49; 1.65627
0.5; 2.0181
0.51; 2.36782
0.52; 2.70191
0.53; 3.01703
0.54; 3.31002
0.55; 3.57795
0.56; 3.81813
0.57; 4.02818
0.58; 4.20601
0.59; 4.34985
0.6; 4.45827
0.61; 4.53022
0.62; 4.56498
0.63; 4.56224
0.64; 4.52202
0.65; 4.44476
0.66; 4.33123
0.67; 4.18257
0.68; 4.00029
0.69; 3.78621
0.7; 3.54246
0.71; 3.27147
0.72; 2.97594
0.73; 2.65879
0.74; 2.32318
0.75; 1.97242
0.76; 1.60998
0.77; 1.23943
0.78; 0.864411
0.79; 0.48861
0.8; 0.115707
0.81; -0.250651
0.82; -0.606892
0.83; -0.949555
0.84; -1.27532
0.85; -1.58104
0.86; -1.86378
0.87; -2.12084
0.88; -2.34978
0.89; -2.54845
0.9; -2.715
0.91; -2.84791
0.92; -2.94601
0.93; -3.00845
0.94; -3.03478
0.95; -3.02487
0.96; -2.97898
0.97; -2.89773
0.98; -2.78207
0.99; -2.63331
1; -2.45309
1.01; -2.24335
1.02; -2.00632
1.03; -1.74452
1.04; -1.46069
1.05; -1.1578
1.06; -0.838984
1.07; -0.507554
1.08; -0.166927
1.09; 0.17939
1.1; 0.52784
1.11; 0.874854
1.12; 1.21688
1.13; 1.55042
1.14; 1.87209
1.15; 2.17859
1.16; 2.46681
1.17; 2.73381
1.18; 2.97689
1.19; 3.19357
1.2; 3.38165
1.21; 3.53922
1.22; 3.66467
1.23; 3.75672
1.24; 3.81442
1.25; 3.83718
1.26; 3.82474
1.27; 3.77719
1.28; 3.695
1.29; 3.57895
1.3; 3.43017
1.31; 3.25012
1.32; 3.04057
1.33; 2.80356
1.34; 2.54142
1.35; 2.25672
1.36; 1.95225
1.37; 1.63098
1.38; 1.29608
1.39; 0.950791
1.4; 0.598502
1.41; 0.242639
1.42; -0.113337
1.43; -0.465972
1.44; -0.811849
1.45; -1.14763
1.46; -1.47008
1.47; -1.77611
1.48; -2.0628
1.49; -2.32742
1.5; -2.56747
1.51; -2.78071
1.52; -2.96516
1.53; -3.11914
1.54; -3.24126
1.55; -3.33049
1.56; -3.38608
1.57; -3.40766
1.58; -3.39517
1.59; -3.34891
1.6; -3.26951
1.61; -3.15792
1.62; -3.01542
1.63; -2.8436
1.64; -2.64433
1.65; -2.41976
