num,err
1, 74
1001, 9.45155
2001, 2.94353
3001, 1.78107
4001, 1.48388
5001, 0.390121
6001, 4.04116
7001, 0.394516
8001, 0.312332
9001, 0.691925
10001, 2.58884
11001, 0.705666
12001, 0.158653
13001, 0.971237
14001, 0.959717
15001, 0.0243988
16001, 0.130676
17001, 0.895653
18001, 1.32376
19001, 0.386192
20001, 0.500229
21001, 0.763054
22001, 0.245491
23001, 0.01548
24001, 0.734009
25001, 1.55906
26001, 0.956268
27001, 1.94912
28001, 0.215065
29001, 0.362572
30001, 1.02747
31001, 1.0819
32001, 0.334457
33001, 0.807854
34001, 1.08512
35001, 0.843399
36001, 0.137604
37001, 0.22464
38001, 0.279572
39001, 0.752831
40001, 0.955879
41001, 0.115898
42001, 0.182091
43001, 0.5392
44001, 0.123001
45001, 0.18364
46001, 0.377556
47001, 1.07079
48001, 0.0489807
49001, 1.08173
