i,x,v
0,6,-1
1,5.999,-1
2,5.998,-1
3,5.997,-1
4,5.996,-1
5,5.995,-1
6,5.994,-1
7,5.993,-1
8,5.992,-1
9,5.991,-1
10,5.99,-1
11,5.989,-1
12,5.988,-1
13,5.987,-1
14,5.986,-1
15,5.985,-1
16,5.984,-1
17,5.983,-1
18,5.982,-1
19,5.981,-1
20,5.98,-1
21,5.979,-1
22,5.978,-1
23,5.977,-1
24,5.976,-1
25,5.975,-1
26,5.974,-1
27,5.973,-1
28,5.972,-1
29,5.971,-1
30,5.97,-1
31,5.969,-1
32,5.968,-1
33,5.967,-1
34,5.966,-1
35,5.965,-1
36,5.964,-1
37,5.963,-1
38,5.962,-1
39,5.961,-1
40,5.96,-1
41,5.959,-1
42,5.958,-1
43,5.957,-1
44,5.956,-1
45,5.955,-1
46,5.954,-1
47,5.953,-1
48,5.952,-1
49,5.951,-1
50,5.95,-1
51,5.949,-1
52,5.948,-1
53,5.947,-1
54,5.946,-1
55,5.945,-1
56,5.944,-1
57,5.943,-1
58,5.942,-1
59,5.941,-1
60,5.94,-1
61,5.939,-1
62,5.938,-1
63,5.937,-1
64,5.936,-1
65,5.935,-1
66,5.934,-1
67,5.933,-1
68,5.932,-1
69,5.931,-1
70,5.93,-1
71,5.929,-1
72,5.928,-1
73,5.927,-1
74,5.926,-1
75,5.925,-1
76,5.924,-1
77,5.923,-1
78,5.922,-1
79,5.921,-1
80,5.92,-1
81,5.919,-1
82,5.918,-1
83,5.917,-1
84,5.916,-1
85,5.915,-1
86,5.914,-1
87,5.913,-1
88,5.912,-1
89,5.911,-1
90,5.91,-1
91,5.909,-1
92,5.908,-1
93,5.907,-1
94,5.906,-1
95,5.905,-1
96,5.904,-1
97,5.903,-1
98,5.902,-1
99,5.901,-1
100,5.9,-1
101,5.899,-1
102,5.898,-1
103,5.897,-1
104,5.896,-1
105,5.895,-1
106,5.894,-1
107,5.893,-1
108,5.892,-1
109,5.891,-1
110,5.89,-1
111,5.889,-1
112,5.888,-1
113,5.887,-1
114,5.886,-1
115,5.885,-1
116,5.884,-1
117,5.883,-1
118,5.882,-1
119,5.881,-1
120,5.88,-1
121,5.879,-1
122,5.878,-1
123,5.877,-1
124,5.876,-1
125,5.875,-1
126,5.874,-1
127,5.873,-1
128,5.872,-1
129,5.871,-1
130,5.87,-1
131,5.869,-1
132,5.868,-1
133,5.867,-1
134,5.866,-1
135,5.865,-1
136,5.864,-1
137,5.863,-1
138,5.862,-1
139,5.861,-1
140,5.86,-1
141,5.859,-1
142,5.858,-1
143,5.857,-1
144,5.856,-1
145,5.855,-1
146,5.854,-1
147,5.853,-1
148,5.852,-1
149,5.851,-1
150,5.85,-1
151,5.849,-1
152,5.848,-1
153,5.847,-1
154,5.846,-1
155,5.845,-1
156,5.844,-1
157,5.843,-1
158,5.842,-1
159,5.841,-1
160,5.84,-1
161,5.839,-1
162,5.838,-1
163,5.837,-1
164,5.836,-1
165,5.835,-1
166,5.834,-1
167,5.833,-1
168,5.832,-1
169,5.831,-1
170,5.83,-1
171,5.829,-1
172,5.828,-1
173,5.827,-1
174,5.826,-1
175,5.825,-1
176,5.824,-1
177,5.823,-1
178,5.822,-1
179,5.821,-1
180,5.82,-1
181,5.819,-1
182,5.818,-1
183,5.817,-1
184,5.816,-1
185,5.815,-1
186,5.814,-1
187,5.813,-1
188,5.812,-1
189,5.811,-1
190,5.81,-1
191,5.809,-1
192,5.808,-1
193,5.807,-1
194,5.806,-1
195,5.805,-1
196,5.804,-1
197,5.803,-1
198,5.802,-1
199,5.801,-1
200,5.8,-1
201,5.799,-1
202,5.798,-1
203,5.797,-1
204,5.796,-1
205,5.795,-1
206,5.794,-1
207,5.793,-1
208,5.792,-1
209,5.791,-1
210,5.79,-1
211,5.789,-1
212,5.788,-1
213,5.787,-1
214,5.786,-1
215,5.785,-1
216,5.784,-1
217,5.783,-1
218,5.782,-1
219,5.781,-1
220,5.78,-1
221,5.779,-1
222,5.778,-1
223,5.777,-1
224,5.776,-1
225,5.775,-1
226,5.774,-1
227,5.773,-1
228,5.772,-1
229,5.771,-1
230,5.77,-1
231,5.769,-1
232,5.768,-1
233,5.767,-1
234,5.766,-1
235,5.765,-1
236,5.764,-1
237,5.763,-1
238,5.762,-1
239,5.761,-1
240,5.76,-1
241,5.759,-1
242,5.758,-1
243,5.757,-1
244,5.756,-1
245,5.755,-1
246,5.754,-1
247,5.753,-1
248,5.752,-1
249,5.751,-1
250,5.75,-1
251,5.749,-1
252,5.748,-1
253,5.747,-1
254,5.746,-1
255,5.745,-1
256,5.744,-1
257,5.743,-1
258,5.742,-1
259,5.741,-1
260,5.74,-1
261,5.739,-1
262,5.738,-1
263,5.737,-1
264,5.736,-1
265,5.735,-1
266,5.734,-1
267,5.733,-1
268,5.732,-1
269,5.731,-1
270,5.73,-1
271,5.729,-1
272,5.728,-1
273,5.727,-1
274,5.726,-1
275,5.725,-1
276,5.724,-1
277,5.723,-1
278,5.722,-1
279,5.721,-1
280,5.72,-1
281,5.719,-1
282,5.718,-1
283,5.717,-1
284,5.716,-1
285,5.715,-1
286,5.714,-1
287,5.713,-1
288,5.712,-1
289,5.711,-1
290,5.71,-1
291,5.709,-1
292,5.708,-1
293,5.707,-1
294,5.706,-1
295,5.705,-1
296,5.704,-1
297,5.703,-1
298,5.702,-1
299,5.701,-1
300,5.7,-1
301,5.699,-1
302,5.698,-1
303,5.697,-1
304,5.696,-1
305,5.695,-1
306,5.694,-1
307,5.693,-1
308,5.692,-1
309,5.691,-1
310,5.69,-1
311,5.689,-1
312,5.688,-1
313,5.687,-1
314,5.686,-1
315,5.685,-1
316,5.684,-1
317,5.683,-1
318,5.682,-1
319,5.681,-1
320,5.68,-1
321,5.679,-1
322,5.678,-1
323,5.677,-1
324,5.676,-1
325,5.675,-1
326,5.674,-1
327,5.673,-1
328,5.672,-1
329,5.671,-1
330,5.67,-1
331,5.669,-1
332,5.668,-1
333,5.667,-1
334,5.666,-1
335,5.665,-1
336,5.664,-1
337,5.663,-1
338,5.662,-1
339,5.661,-1
340,5.66,-1
341,5.659,-1
342,5.658,-1
343,5.657,-1
344,5.656,-1
345,5.655,-1
346,5.654,-1
347,5.653,-1
348,5.652,-1
349,5.651,-1
350,5.65,-1
351,5.649,-1
352,5.648,-1
353,5.647,-1
354,5.646,-1
355,5.645,-1
356,5.644,-1
357,5.643,-1
358,5.642,-1
359,5.641,-1
360,5.64,-1
361,5.639,-1
362,5.638,-1
363,5.637,-1
364,5.636,-1
365,5.635,-1
366,5.634,-1
367,5.633,-1
368,5.632,-1
369,5.631,-1
370,5.63,-1
371,5.629,-1
372,5.628,-1
373,5.627,-1
374,5.626,-1
375,5.625,-1
376,5.624,-1
377,5.623,-1
378,5.622,-1
379,5.621,-1
380,5.62,-1
381,5.619,-1
382,5.618,-1
383,5.617,-1
384,5.616,-1
385,5.615,-1
386,5.614,-1
387,5.613,-1
388,5.612,-1
389,5.611,-1
390,5.61,-1
391,5.609,-1
392,5.608,-1
393,5.607,-1
394,5.606,-1
395,5.605,-1
396,5.604,-1
397,5.603,-1
398,5.602,-1
399,5.601,-1
400,5.6,-1
401,5.599,-1
402,5.598,-1
403,5.597,-1
404,5.596,-1
405,5.595,-1
406,5.594,-1
407,5.593,-1
408,5.592,-1
409,5.591,-1
410,5.59,-1
411,5.589,-1
412,5.588,-1
413,5.587,-1
414,5.586,-1
415,5.585,-1
416,5.584,-1
417,5.583,-1
418,5.582,-1
419,5.581,-1
420,5.58,-1
421,5.579,-1
422,5.578,-1
423,5.577,-1
424,5.576,-1
425,5.575,-1
426,5.574,-1
427,5.573,-1
428,5.572,-1
429,5.571,-1
430,5.57,-1
431,5.569,-1
432,5.568,-1
433,5.567,-1
434,5.566,-1
435,5.565,-1
436,5.564,-1
437,5.563,-1
438,5.562,-1
439,5.561,-1
440,5.56,-1
441,5.559,-1
442,5.558,-1
443,5.557,-1
444,5.556,-1
445,5.555,-1
446,5.554,-1
447,5.553,-1
448,5.552,-1
449,5.551,-1
450,5.55,-1
451,5.549,-1
452,5.548,-1
453,5.547,-1
454,5.546,-1
455,5.545,-1
456,5.544,-1
457,5.543,-1
458,5.542,-1
459,5.541,-1
460,5.54,-1
461,5.539,-1
462,5.538,-1
463,5.537,-1
464,5.536,-1
465,5.535,-1
466,5.534,-1
467,5.533,-1
468,5.532,-1
