t; x
0; 0
0.01; -1
0.02; -2
0.03; -2.99
0.04; -3.96
0.05; -4.9001
0.06; -5.8006
0.07; -6.6521
0.08; -7.44559
0.09; -8.17256
0.1; -8.82508
0.11; -9.39587
0.12; -9.87841
0.13; -10.267
0.14; -10.5568
0.15; -10.7439
0.16; -10.8255
0.17; -10.7996
0.18; -10.6655
0.19; -10.4233
0.2; -10.0745
0.21; -9.62153
0.22; -9.06776
0.23; -8.41778
0.24; -7.67713
0.25; -6.85229
0.26; -5.95069
0.27; -4.98055
0.28; -3.95092
0.29; -2.87148
0.3; -1.75253
0.31; -0.604861
0.32; 0.560329
0.33; 1.73157
0.34; 2.89721
0.35; 4.04552
0.36; 5.16488
0.37; 6.24377
0.38; 7.27101
0.39; 8.23582
0.4; 9.12791
0.41; 9.93765
0.42; 10.6561
0.43; 11.2752
0.44; 11.7877
0.45; 12.1875
0.46; 12.4694
0.47; 12.6294
0.48; 12.6647
0.49; 12.5737
0.5; 12.3561
0.51; 12.0128
0.52; 11.5459
0.53; 10.9588
0.54; 10.2563
0.55; 9.44422
0.56; 8.52957
0.57; 7.52048
0.58; 6.42609
0.59; 5.25649
0.6; 4.02263
0.61; 2.73621
0.62; 1.40956
0.63; 0.0555492
0.64; -1.31256
0.65; -2.68122
0.66; -4.03676
0.67; -5.36548
0.68; -6.65384
0.69; -7.88854
0.7; -9.0567
0.71; -10.146
0.72; -11.1447
0.73; -12.0419
0.74; -12.8277
0.75; -13.4931
0.76; -14.0302
0.77; -14.4324
0.78; -14.6943
0.79; -14.8118
0.8; -14.7824
0.81; -14.6049
0.82; -14.2796
0.83; -13.8082
0.84; -13.194
0.85; -12.4418
0.86; -11.5576
0.87; -10.5489
0.88; -9.42474
0.89; -8.19506
0.9; -6.87113
0.91; -5.46523
0.92; -3.99064
0.93; -2.46139
0.94; -0.89224
0.95; 0.701526
0.96; 2.30422
0.97; 3.8999
0.98; 5.47253
0.99; 7.00616
1; 8.48507
1.01; 9.89392
1.02; 11.2179
1.03; 12.443
1.04; 13.5558
1.05; 14.5443
1.06; 15.3972
1.07; 16.1046
1.08; 16.6581
1.09; 17.0505
1.1; 17.2764
1.11; 17.3317
1.12; 17.2143
