t; x
0; 0
0.01; -1
0.02; -1.99
0.03; -2.96007
0.04; -3.9005
0.05; -4.80185
0.06; -5.65507
0.07; -6.45163
0.08; -7.18353
0.09; -7.84344
0.1; -8.42473
0.11; -8.92158
0.12; -9.329
0.13; -9.6429
0.14; -9.86015
0.15; -9.97855
0.16; -9.99692
0.17; -9.91507
0.18; -9.73382
0.19; -9.45499
0.2; -9.08136
0.21; -8.61668
0.22; -8.06561
0.23; -7.43367
0.24; -6.72719
0.25; -5.95325
0.26; -5.11961
0.27; -4.23462
0.28; -3.30716
0.29; -2.34653
0.3; -1.36234
0.31; -0.364476
0.32; 0.637068
0.33; 1.63225
0.34; 2.6111
0.35; 3.56379
0.36; 4.48078
0.37; 5.35288
0.38; 6.17133
0.39; 6.92793
0.4; 7.61511
0.41; 8.22595
0.42; 8.75435
0.43; 9.195
0.44; 9.54348
0.45; 9.7963
0.46; 9.95091
0.47; 10.0058
0.48; 9.96032
0.49; 9.81502
0.5; 9.57132
0.51; 9.23166
0.52; 8.79945
0.53; 8.27901
0.54; 7.67556
0.55; 6.99515
0.56; 6.24459
0.57; 5.43142
0.58; 4.56377
0.59; 3.65035
0.6; 2.70031
0.61; 1.72318
0.62; 0.728751
0.63; -0.27301
0.64; -1.27206
0.65; -2.25838
0.66; -3.22209
0.67; -4.15352
0.68; -5.04333
0.69; -5.88261
0.7; -6.66293
0.71; -7.37648
0.72; -8.0161
0.73; -8.57537
0.74; -9.04869
0.75; -9.4313
0.76; -9.71938
0.77; -9.91003
0.78; -10.0013
0.79; -9.99237
0.8; -9.88324
0.81; -9.67503
0.82; -9.36982
0.83; -8.97067
0.84; -8.48158
0.85; -7.90744
0.86; -7.25403
0.87; -6.52787
0.88; -5.73626
0.89; -4.88711
0.9; -3.98896
0.91; -3.05079
0.92; -2.08201
0.93; -1.09234
0.94; -0.091692
0.95; 0.909899
0.96; 1.90239
0.97; 2.87585
0.98; 3.82049
0.99; 4.72685
1; 5.58586
1.01; 6.38888
1.02; 7.12788
1.03; 7.79543
1.04; 8.38486
1.05; 8.89024
1.06; 9.30651
1.07; 9.6295
1.08; 9.85595
1.09; 9.98361
1.1; 10.0112
1.11; 9.93839
1.12; 9.76597
