t; x
0; 1
0.01; 0.995
0.02; 0.980025
0.03; 0.955225
0.04; 0.920848
0.05; 0.877239
0.06; 0.824834
0.07; 0.764159
0.08; 0.695822
0.09; 0.620508
0.1; 0.538971
0.11; 0.452029
0.12; 0.360553
0.13; 0.26546
0.14; 0.167704
0.15; 0.0682635
0.16; -0.0318633
0.17; -0.131673
0.18; -0.230166
0.19; -0.326353
0.2; -0.419271
0.21; -0.507988
0.22; -0.591615
0.23; -0.669313
0.24; -0.740304
0.25; -0.803874
0.26; -0.859387
0.27; -0.906286
0.28; -0.944101
0.29; -0.972452
0.3; -0.991055
0.31; -0.999723
0.32; -0.998369
0.33; -0.987007
0.34; -0.965749
0.35; -0.93481
0.36; -0.894498
0.37; -0.845217
0.38; -0.787462
0.39; -0.721812
0.4; -0.648923
0.41; -0.569528
0.42; -0.484421
0.43; -0.394455
0.44; -0.300533
0.45; -0.203595
0.46; -0.104614
0.47; -0.00458187
0.48; 0.0954987
0.49; 0.194625
0.5; 0.291802
0.51; 0.386056
0.52; 0.476442
0.53; 0.562054
0.54; 0.642035
0.55; 0.71558
0.56; 0.781953
0.57; 0.84049
0.58; 0.890601
0.59; 0.931786
0.6; 0.963631
0.61; 0.985816
0.62; 0.998118
0.63; 1.00042
0.64; 0.992683
0.65; 0.974999
0.66; 0.94754
0.67; 0.910581
0.68; 0.864493
0.69; 0.809737
0.7; 0.746863
0.71; 0.676499
0.72; 0.599351
0.73; 0.516194
0.74; 0.427859
0.75; 0.335233
0.76; 0.239244
0.77; 0.140854
0.78; 0.0410494
0.79; -0.0591696
0.8; -0.158797
0.81; -0.256836
0.82; -0.352302
0.83; -0.444238
0.84; -0.531724
0.85; -0.613881
0.86; -0.689886
0.87; -0.758977
0.88; -0.820461
0.89; -0.873721
0.9; -0.918223
0.91; -0.953522
0.92; -0.979262
0.93; -0.995186
0.94; -1.00113
0.95; -0.997044
0.96; -0.98296
0.97; -0.959021
0.98; -0.925468
0.99; -0.882636
1; -0.830954
1.01; -0.770941
1.02; -0.703197
1.03; -0.628403
1.04; -0.547306
1.05; -0.460721
1.06; -0.369516
1.07; -0.274602
1.08; -0.176934
1.09; -0.0774899
1.1; 0.0227334
1.11; 0.122731
1.12; 0.221501
1.13; 0.318053
1.14; 0.411419
1.15; 0.500663
1.16; 0.58489
1.17; 0.663256
1.18; 0.734974
1.19; 0.799327
1.2; 0.855667
1.21; 0.903431
1.22; 0.942139
1.23; 0.971403
1.24; 0.990929
1.25; 1.00052
1.26; 1.00008
1.27; 0.989622
1.28; 0.969238
1.29; 0.939137
1.3; 0.89962
1.31; 0.851083
1.32; 0.794013
1.33; 0.728982
1.34; 0.656641
1.35; 0.577715
1.36; 0.492996
1.37; 0.403333
1.38; 0.309624
1.39; 0.212808
1.4; 0.113857
1.41; 0.0137617
1.42; -0.0864739
1.43; -0.185845
1.44; -0.283357
1.45; -0.378029
1.46; -0.468914
1.47; -0.555101
1.48; -0.635724
1.49; -0.709977
1.5; -0.777114
1.51; -0.836462
1.52; -0.887426
1.53; -0.929495
1.54; -0.962247
1.55; -0.985353
1.56; -0.998581
1.57; -1.0018
1.58; -0.994974
1.59; -0.978175
1.6; -0.951568
1.61; -0.915422
1.62; -0.870097
1.63; -0.816049
1.64; -0.753818
1.65; -0.684029
1.66; -0.607381
1.67; -0.524642
1.68; -0.436641
1.69; -0.34426
1.7; -0.248426
1.71; -0.1501
1.72; -0.0502657
1.73; 0.0500745
1.74; 0.149915
1.75; 0.248256
1.76; 0.34411
1.77; 0.436516
1.78; 0.524549
1.79; 0.607326
1.8; 0.684016
1.81; 0.753851
1.82; 0.816131
1.83; 0.87023
1.84; 0.915607
1.85; 0.951805
1.86; 0.978463
1.87; 0.995312
1.88; 1.00218
1.89; 0.999009
1.9; 0.985819
1.91; 0.962745
1.92; 0.93002
1.93; 0.887971
1.94; 0.837017
1.95; 0.777672
1.96; 0.71053
1.97; 0.636262
1.98; 0.555615
1.99; 0.469395
2; 0.378467
2.01; 0.283743
2.02; 0.186172
2.03; 0.0867324
2.04; -0.0135793
2.05; -0.113757
2.06; -0.212798
2.07; -0.309707
2.08; -0.403514
2.09; -0.493278
2.1; -0.578099
2.11; -0.657127
2.12; -0.729569
2.13; -0.794701
2.14; -0.851866
2.15; -0.900492
2.16; -0.940092
2.17; -0.970268
2.18; -0.990719
2.19; -1.00124
2.2; -1.00172
2.21; -0.992159
2.22; -0.972652
2.23; -0.943394
2.24; -0.904678
2.25; -0.856891
2.26; -0.800512
2.27; -0.736107
2.28; -0.664321
2.29; -0.585874
2.3; -0.501551
2.31; -0.412198
2.32; -0.31871
2.33; -0.222025
2.34; -0.123112
2.35; -0.0229623
2.36; 0.0774203
2.37; 0.177029
2.38; 0.274868
2.39; 0.369952
2.4; 0.461329
2.41; 0.548084
2.42; 0.629346
2.43; 0.704301
2.44; 0.772197
2.45; 0.832354
2.46; 0.884168
2.47; 0.92712
2.48; 0.960778
2.49; 0.984805
2.5; 0.99896
2.51; 1.0031
2.52; 0.997187
2.53; 0.981275
2.54; 0.955525
2.55; 0.920196
2.56; 0.875641
2.57; 0.822306
2.58; 0.760727
2.59; 0.69152
2.6; 0.615378
2.61; 0.533066
2.62; 0.445407
2.63; 0.353279
2.64; 0.257609
2.65; 0.159354
2.66; 0.0594992
2.67; -0.0409546
2.68; -0.141
2.69; -0.239635
2.7; -0.33587
2.71; -0.42874
2.72; -0.517315
2.73; -0.600705
2.74; -0.678076
2.75; -0.74865
2.76; -0.811722
2.77; -0.866657
2.78; -0.912906
2.79; -0.950004
2.8; -0.977579
2.81; -0.995354
2.82; -1.00315
2.83; -1.00089
2.84; -0.9886
2.85; -0.966397
2.86; -0.934504
2.87; -0.893242
2.88; -0.843024
2.89; -0.784353
2.9; -0.717819
2.91; -0.644086
2.92; -0.563895
2.93; -0.478048
2.94; -0.387407
2.95; -0.29288
2.96; -0.195415
2.97; -0.095988
2.98; 0.0044037
2.99; 0.104754
3; 0.204056
3.01; 0.301315
3.02; 0.395556
3.03; 0.485834
3.04; 0.571244
3.05; 0.650929
3.06; 0.724091
3.07; 0.789995
