t; x
0; 1
0.01; 1
0.02; 0.99
0.03; 0.97
0.04; 0.9401
0.05; 0.9005
0.06; 0.851499
0.07; 0.793493
0.08; 0.726972
0.09; 0.652516
0.1; 0.57079
0.11; 0.48254
0.12; 0.388581
0.13; 0.289797
0.14; 0.187127
0.15; 0.0815589
0.16; -0.0258801
0.17; -0.134135
0.18; -0.242131
0.19; -0.348785
0.2; -0.453019
0.21; -0.553764
0.22; -0.649979
0.23; -0.740657
0.24; -0.824835
0.25; -0.901606
0.26; -0.970129
0.27; -1.02964
0.28; -1.07944
0.29; -1.11895
0.3; -1.14767
0.31; -1.16519
0.32; -1.17124
0.33; -1.16564
0.34; -1.14832
0.35; -1.11935
0.36; -1.07889
0.37; -1.02724
0.38; -0.964807
0.39; -0.892097
0.4; -0.809738
0.41; -0.718459
0.42; -0.619083
0.43; -0.512522
0.44; -0.39977
0.45; -0.281893
0.46; -0.160018
0.47; -0.0353239
0.48; 0.0909699
0.49; 0.217617
0.5; 0.343355
0.51; 0.466916
0.52; 0.587044
0.53; 0.702502
0.54; 0.812091
0.55; 0.914654
0.56; 1.0091
0.57; 1.09439
0.58; 1.1696
0.59; 1.23386
0.6; 1.28642
0.61; 1.32665
0.62; 1.35401
0.63; 1.36811
0.64; 1.36866
0.65; 1.35554
0.66; 1.32872
0.67; 1.28836
0.68; 1.2347
0.69; 1.16816
0.7; 1.08928
0.71; 0.998711
0.72; 0.897251
0.73; 0.785804
0.74; 0.665385
0.75; 0.537107
0.76; 0.402176
0.77; 0.261874
0.78; 0.11755
0.79; -0.0293937
0.8; -0.177512
0.81; -0.325336
0.82; -0.471385
0.83; -0.614181
0.84; -0.752263
0.85; -0.884204
0.86; -1.00862
0.87; -1.1242
0.88; -1.22969
0.89; -1.32393
0.9; -1.40588
0.91; -1.4746
0.92; -1.52925
0.93; -1.56915
0.94; -1.59377
0.95; -1.60269
0.96; -1.59568
0.97; -1.57263
0.98; -1.53363
0.99; -1.47891
1; -1.40885
1.01; -1.324
1.02; -1.22506
1.03; -1.11288
1.04; -0.988449
1.05; -0.852891
1.06; -0.707448
1.07; -0.553474
1.08; -0.392428
1.09; -0.225847
1.1; -0.0553417
1.11; 0.117422
1.12; 0.290739
1.13; 0.462882
1.14; 0.632118
1.15; 0.796724
1.16; 0.95501
1.17; 1.10533
1.18; 1.2461
1.19; 1.37581
1.2; 1.49307
1.21; 1.59656
1.22; 1.68513
1.23; 1.75773
1.24; 1.81348
1.25; 1.85165
1.26; 1.87168
1.27; 1.8732
1.28; 1.85601
1.29; 1.82008
1.3; 1.76559
1.31; 1.6929
1.32; 1.60255
1.33; 1.49528
1.34; 1.37198
1.35; 1.23372
1.36; 1.08175
1.37; 0.917442
1.38; 0.742315
1.39; 0.558013
1.4; 0.366288
1.41; 0.168983
1.42; -0.0319848
1.43; -0.234642
1.44; -0.436983
1.45; -0.636974
1.46; -0.832596
1.47; -1.02185
1.48; -1.20277
1.49; -1.37348
1.5; -1.53216
1.51; -1.67711
1.52; -1.80673
1.53; -1.91958
1.54; -2.01437
1.55; -2.08996
1.56; -2.1454
1.57; -2.17995
1.58; -2.19304
1.59; -2.18433
1.6; -2.15369
1.61; -2.10121
1.62; -2.0272
1.63; -1.93217
1.64; -1.81686
1.65; -1.68224
1.66; -1.52945
1.67; -1.35983
1.68; -1.17492
1.69; -0.976414
1.7; -0.766157
1.71; -0.546136
1.72; -0.318454
1.73; -0.0853101
1.74; 0.151018
1.75; 0.3882
1.76; 0.623871
1.77; 0.85566
1.78; 1.08121
1.79; 1.2982
1.8; 1.50439
1.81; 1.69759
1.82; 1.87574
1.83; 2.03692
1.84; 2.17935
1.85; 2.3014
1.86; 2.40166
1.87; 2.47891
1.88; 2.53214
1.89; 2.56058
1.9; 2.56369
1.91; 2.54121
1.92; 2.49308
1.93; 2.41955
1.94; 2.32108
1.95; 2.19842
1.96; 2.05255
1.97; 1.88469
1.98; 1.69631
1.99; 1.48908
2; 1.26489
2.01; 1.0258
2.02; 0.77407
2.03; 0.512081
2.04; 0.24235
2.05; -0.0325014
2.06; -0.309776
2.07; -0.586726
2.08; -0.860578
2.09; -1.12856
2.1; -1.38794
2.11; -1.63604
2.12; -1.87025
2.13; -2.08811
2.14; -2.28726
2.15; -2.46553
2.16; -2.62093
2.17; -2.75167
2.18; -2.8562
2.19; -2.93322
2.2; -2.98167
2.21; -3.00079
2.22; -2.9901
2.23; -2.9494
2.24; -2.87879
2.25; -2.7787
2.26; -2.64981
2.27; -2.49314
2.28; -2.30997
2.29; -2.10187
2.3; -1.87067
2.31; -1.61845
2.32; -1.34752
2.33; -1.06041
2.34; -0.759823
2.35; -0.448633
2.36; -0.129845
2.37; 0.19343
2.38; 0.518011
2.39; 0.84065
2.4; 1.15811
2.41; 1.46716
2.42; 1.76463
2.43; 2.04743
2.44; 2.31258
2.45; 2.55726
2.46; 2.77882
2.47; 2.9748
2.48; 3.14299
2.49; 3.28143
2.5; 3.38845
2.51; 3.46265
2.52; 3.50296
2.53; 3.50865
2.54; 3.47931
