t; x
0; 0
0.001; 0.00999983
0.002; 0.0199988
0.003; 0.029996
0.004; 0.0399903
0.005; 0.0499808
0.006; 0.0599665
0.007; 0.0699463
0.008; 0.0799194
0.009; 0.0898845
0.01; 0.0998409
0.011; 0.109787
0.012; 0.119723
0.013; 0.129647
0.014; 0.139558
0.015; 0.149456
0.016; 0.159338
0.017; 0.169205
0.018; 0.179055
0.019; 0.188887
0.02; 0.198701
0.021; 0.208495
0.022; 0.218268
0.023; 0.228019
0.024; 0.237748
0.025; 0.247453
0.026; 0.257134
0.027; 0.266789
0.028; 0.276418
0.029; 0.286019
0.03; 0.295592
0.031; 0.305135
0.032; 0.314648
0.033; 0.32413
0.034; 0.333579
0.035; 0.342995
0.036; 0.352377
0.037; 0.361724
0.038; 0.371035
0.039; 0.380309
0.04; 0.389545
0.041; 0.398742
0.042; 0.4079
0.043; 0.417017
0.044; 0.426092
0.045; 0.435125
0.046; 0.444115
0.047; 0.45306
0.048; 0.46196
0.049; 0.470814
0.05; 0.479622
0.051; 0.488381
0.052; 0.497092
0.053; 0.505753
0.054; 0.514364
0.055; 0.522923
0.056; 0.53143
0.057; 0.539884
0.058; 0.548285
0.059; 0.556631
0.06; 0.564921
0.061; 0.573155
0.062; 0.581331
0.063; 0.58945
0.064; 0.59751
0.065; 0.60551
0.066; 0.61345
0.067; 0.621328
0.068; 0.629145
0.069; 0.636899
0.07; 0.644589
0.071; 0.652215
0.072; 0.659776
0.073; 0.667271
0.074; 0.674699
0.075; 0.68206
0.076; 0.689353
0.077; 0.696577
0.078; 0.703732
0.079; 0.710816
0.08; 0.71783
0.081; 0.724772
0.082; 0.731641
0.083; 0.738437
0.084; 0.74516
0.085; 0.751808
0.086; 0.758381
0.087; 0.764879
0.088; 0.7713
0.089; 0.777644
0.09; 0.78391
0.091; 0.790098
0.092; 0.796207
0.093; 0.802237
0.094; 0.808186
0.095; 0.814055
0.096; 0.819843
0.097; 0.825548
0.098; 0.831171
0.099; 0.836712
0.1; 0.842168
0.101; 0.84754
0.102; 0.852828
0.103; 0.858031
0.104; 0.863148
0.105; 0.868178
0.106; 0.873122
0.107; 0.877979
0.108; 0.882748
0.109; 0.887429
0.11; 0.892021
0.111; 0.896524
0.112; 0.900937
0.113; 0.90526
0.114; 0.909493
0.115; 0.913635
0.116; 0.917686
0.117; 0.921645
0.118; 0.925512
0.119; 0.929286
0.12; 0.932968
