t; x
0; 0
0.001; 0.01
0.002; 0.019999
0.003; 0.029996
0.004; 0.03999
0.005; 0.04998
0.006; 0.059965
0.007; 0.069944
0.008; 0.079916
0.009; 0.08988
0.01; 0.0998351
0.011; 0.10978
0.012; 0.119714
0.013; 0.129636
0.014; 0.139545
0.015; 0.149441
0.016; 0.159321
0.017; 0.169185
0.018; 0.179033
0.019; 0.188862
0.02; 0.198673
0.021; 0.208463
0.022; 0.218233
0.023; 0.227981
0.024; 0.237707
0.025; 0.247408
0.026; 0.257085
0.027; 0.266736
0.028; 0.27636
0.029; 0.285957
0.03; 0.295525
0.031; 0.305064
0.032; 0.314572
0.033; 0.324048
0.034; 0.333492
0.035; 0.342903
0.036; 0.35228
0.037; 0.361621
0.038; 0.370926
0.039; 0.380194
0.04; 0.389425
0.041; 0.398616
0.042; 0.407767
0.043; 0.416877
0.044; 0.425946
0.045; 0.434972
0.046; 0.443955
0.047; 0.452893
0.048; 0.461786
0.049; 0.470633
0.05; 0.479433
0.051; 0.488185
0.052; 0.496888
0.053; 0.505541
0.054; 0.514144
0.055; 0.522695
0.056; 0.531194
0.057; 0.53964
0.058; 0.548032
0.059; 0.556369
0.06; 0.564651
0.061; 0.572876
0.062; 0.581044
0.063; 0.589153
0.064; 0.597204
0.065; 0.605195
0.066; 0.613126
0.067; 0.620995
0.068; 0.628802
0.069; 0.636546
0.07; 0.644227
0.071; 0.651843
0.072; 0.659394
0.073; 0.666879
0.074; 0.674297
0.075; 0.681648
0.076; 0.688931
0.077; 0.696145
0.078; 0.703289
0.079; 0.710363
0.08; 0.717365
0.081; 0.724297
0.082; 0.731155
0.083; 0.737941
0.084; 0.744653
0.085; 0.75129
0.086; 0.757852
0.087; 0.764338
0.088; 0.770748
0.089; 0.777081
0.09; 0.783336
0.091; 0.789513
0.092; 0.795611
0.093; 0.801629
0.094; 0.807567
0.095; 0.813425
0.096; 0.819201
0.097; 0.824895
0.098; 0.830507
0.099; 0.836035
0.1; 0.84148
0.101; 0.846841
0.102; 0.852117
0.103; 0.857308
0.104; 0.862413
0.105; 0.867432
0.106; 0.872364
0.107; 0.877209
0.108; 0.881966
0.109; 0.886635
0.11; 0.891216
0.111; 0.895707
0.112; 0.900109
0.113; 0.90442
0.114; 0.908642
0.115; 0.912772
0.116; 0.916811
0.117; 0.920758
0.118; 0.924614
0.119; 0.928376
0.12; 0.932046
0.121; 0.935623
0.122; 0.939106
0.123; 0.942496
0.124; 0.945791
0.125; 0.948991
0.126; 0.952097
0.127; 0.955107
0.128; 0.958022
0.129; 0.960841
0.13; 0.963564
0.131; 0.966191
0.132; 0.968721
0.133; 0.971154
0.134; 0.97349
0.135; 0.975728
0.136; 0.97787
0.137; 0.979913
0.138; 0.981858
0.139; 0.983705
0.14; 0.985454
0.141; 0.987104
0.142; 0.988655
0.143; 0.990108
0.144; 0.991462
0.145; 0.992716
0.146; 0.993871
0.147; 0.994927
0.148; 0.995883
0.149; 0.99674
0.15; 0.997497
0.151; 0.998154
0.152; 0.998712
0.153; 0.999169
0.154; 0.999527
0.155; 0.999784
0.156; 0.999942
0.157; 1
0.158; 0.999958
0.159; 0.999815
0.16; 0.999573
0.161; 0.999231
0.162; 0.998789
0.163; 0.998247
0.164; 0.997605
0.165; 0.996863
0.166; 0.996022
0.167; 0.995081
0.168; 0.99404
0.169; 0.992901
0.17; 0.991661
0.171; 0.990323
0.172; 0.988886
0.173; 0.987349
0.174; 0.985715
0.175; 0.983981
0.176; 0.982149
0.177; 0.980219
0.178; 0.978191
0.179; 0.976065
0.18; 0.973841
0.181; 0.97152
0.182; 0.969102
0.183; 0.966587
0.184; 0.963975
0.185; 0.961267
0.186; 0.958463
0.187; 0.955563
0.188; 0.952567
0.189; 0.949476
0.19; 0.94629
0.191; 0.94301
0.192; 0.939635
0.193; 0.936166
0.194; 0.932604
0.195; 0.928948
0.196; 0.925199
0.197; 0.921358
0.198; 0.917425
0.199; 0.9134
0.2; 0.909284
0.201; 0.905077
0.202; 0.900779
0.203; 0.896391
0.204; 0.891914
0.205; 0.887347
0.206; 0.882691
0.207; 0.877948
0.208; 0.873116
0.209; 0.868198
0.21; 0.863192
0.211; 0.8581
0.212; 0.852922
0.213; 0.847659
0.214; 0.842311
0.215; 0.836879
0.216; 0.831364
0.217; 0.825765
0.218; 0.820083
0.219; 0.81432
0.22; 0.808475
0.221; 0.802549
0.222; 0.796543
0.223; 0.790458
0.224; 0.784293
0.225; 0.77805
0.226; 0.771729
0.227; 0.765331
0.228; 0.758856
0.229; 0.752306
0.23; 0.74568
0.231; 0.73898
0.232; 0.732205
0.233; 0.725358
0.234; 0.718438
0.235; 0.711446
