t; x
0; 10
0.001; 9.60741
0.002; 9.22927
0.003; 8.86505
0.004; 8.51424
0.005; 8.17636
0.006; 7.85092
0.007; 7.53747
0.008; 7.23558
0.009; 6.94481
0.01; 6.66476
0.011; 6.39504
0.012; 6.13527
0.013; 5.88509
0.014; 5.64413
0.015; 5.41208
0.016; 5.18859
0.017; 4.97335
0.018; 4.76607
0.019; 4.56645
0.02; 4.3742
0.021; 4.18907
0.022; 4.01078
0.023; 3.8391
0.024; 3.67376
0.025; 3.51455
0.026; 3.36124
0.027; 3.21361
0.028; 3.07146
0.029; 2.93457
0.03; 2.80277
0.031; 2.67586
0.032; 2.55366
0.033; 2.43601
0.034; 2.32273
0.035; 2.21366
0.036; 2.10866
0.037; 2.00756
0.038; 1.91023
0.039; 1.81653
0.04; 1.72633
0.041; 1.63949
0.042; 1.5559
0.043; 1.47543
0.044; 1.39798
0.045; 1.32342
0.046; 1.25166
0.047; 1.18259
0.048; 1.11611
0.049; 1.05213
0.05; 0.99055
0.051; 0.931291
0.052; 0.874264
0.053; 0.819388
0.054; 0.766583
0.055; 0.715774
0.056; 0.666887
0.057; 0.619851
0.058; 0.574599
0.059; 0.531065
0.06; 0.489185
0.061; 0.4489
0.062; 0.410151
0.063; 0.372881
0.064; 0.337035
0.065; 0.302562
0.066; 0.269411
0.067; 0.237534
0.068; 0.206883
0.069; 0.177414
0.07; 0.149083
0.071; 0.121848
0.072; 0.0956687
0.073; 0.0705069
0.074; 0.0463248
0.075; 0.0230863
0.076; 0.000756765
0.077; -0.0206973
0.078; -0.0413081
0.079; -0.0611067
0.08; -0.080123
0.081; -0.0983858
0.082; -0.115923
0.083; -0.132761
0.084; -0.148926
0.085; -0.164442
0.086; -0.179334
0.087; -0.193624
0.088; -0.207335
0.089; -0.220488
0.09; -0.233104
0.091; -0.245202
0.092; -0.256802
0.093; -0.267922
0.094; -0.27858
0.095; -0.288792
0.096; -0.298576
0.097; -0.307946
0.098; -0.316919
0.099; -0.32551
0.1; -0.333731
0.101; -0.341597
0.102; -0.349122
0.103; -0.356317
0.104; -0.363195
0.105; -0.369768
0.106; -0.376047
0.107; -0.382043
0.108; -0.387766
0.109; -0.393227
0.11; -0.398435
0.111; -0.4034
0.112; -0.40813
0.113; -0.412635
0.114; -0.416924
0.115; -0.421003
0.116; -0.42488
0.117; -0.428565
0.118; -0.432062
0.119; -0.43538
0.12; -0.438526
0.121; -0.441505
0.122; -0.444324
0.123; -0.446989
0.124; -0.449505
0.125; -0.451879
0.126; -0.454116
0.127; -0.45622
0.128; -0.458197
0.129; -0.460052
0.13; -0.461788
0.131; -0.463412
0.132; -0.464926
0.133; -0.466335
0.134; -0.467644
0.135; -0.468855
0.136; -0.469973
0.137; -0.471001
0.138; -0.471942
0.139; -0.472801
0.14; -0.473579
0.141; -0.47428
0.142; -0.474907
0.143; -0.475464
0.144; -0.475951
0.145; -0.476373
0.146; -0.476732
0.147; -0.47703
0.148; -0.47727
0.149; -0.477453
0.15; -0.477582
0.151; -0.47766
0.152; -0.477687
0.153; -0.477667
0.154; -0.477601
0.155; -0.47749
0.156; -0.477337
0.157; -0.477143
0.158; -0.47691
0.159; -0.476639
0.16; -0.476333
0.161; -0.475991
0.162; -0.475617
0.163; -0.47521
0.164; -0.474773
0.165; -0.474306
0.166; -0.473811
0.167; -0.47329
0.168; -0.472742
0.169; -0.472169
0.17; -0.471573
0.171; -0.470953
0.172; -0.470312
0.173; -0.46965
0.174; -0.468968
0.175; -0.468266
0.176; -0.467546
0.177; -0.466809
0.178; -0.466055
0.179; -0.465284
0.18; -0.464498
0.181; -0.463698
0.182; -0.462883
0.183; -0.462055
0.184; -0.461214
0.185; -0.460361
0.186; -0.459496
0.187; -0.45862
0.188; -0.457734
0.189; -0.456837
0.19; -0.455931
0.191; -0.455016
0.192; -0.454091
0.193; -0.453159
0.194; -0.452219
0.195; -0.451271
0.196; -0.450316
0.197; -0.449355
0.198; -0.448387
0.199; -0.447413
0.2; -0.446434
0.201; -0.445449
0.202; -0.444459
0.203; -0.443464
0.204; -0.442465
0.205; -0.441462
0.206; -0.440454
0.207; -0.439443
0.208; -0.438429
0.209; -0.437411
0.21; -0.436391
0.211; -0.435367
0.212; -0.434342
0.213; -0.433313
0.214; -0.432283
0.215; -0.431251
0.216; -0.430216
0.217; -0.429181
0.218; -0.428143
0.219; -0.427105
0.22; -0.426065
0.221; -0.425024
0.222; -0.423983
0.223; -0.422941
0.224; -0.421898
0.225; -0.420854
0.226; -0.419811
0.227; -0.418767
0.228; -0.417723
0.229; -0.416679
0.23; -0.415635
0.231; -0.414591
0.232; -0.413548
0.233; -0.412505
0.234; -0.411462
0.235; -0.41042
0.236; -0.409379
0.237; -0.408338
0.238; -0.407298
0.239; -0.406259
0.24; -0.405221
0.241; -0.404183
0.242; -0.403147
0.243; -0.402112
0.244; -0.401078
0.245; -0.400046
0.246; -0.399014
0.247; -0.397984
0.248; -0.396956
0.249; -0.395928
0.25; -0.394903
0.251; -0.393878
0.252; -0.392856
0.253; -0.391834
0.254; -0.390815
0.255; -0.389797
0.256; -0.388781
0.257; -0.387767
0.258; -0.386754
0.259; -0.385743
0.26; -0.384734
0.261; -0.383727
0.262; -0.382722
0.263; -0.381718
0.264; -0.380717
0.265; -0.379717
0.266; -0.37872
0.267; -0.377724
0.268; -0.376731
0.269; -0.375739
0.27; -0.37475
0.271; -0.373762
0.272; -0.372777
0.273; -0.371794
0.274; -0.370812
0.275; -0.369833
0.276; -0.368857
0.277; -0.367882
0.278; -0.366909
0.279; -0.365939
0.28; -0.364971
0.281; -0.364005
0.282; -0.363041
0.283; -0.362079
0.284; -0.36112
0.285; -0.360163
0.286; -0.359208
0.287; -0.358255
0.288; -0.357304
0.289; -0.356356
0.29; -0.35541
0.291; -0.354466
0.292; -0.353525
0.293; -0.352586
0.294; -0.351649
0.295; -0.350714
0.296; -0.349782
0.297; -0.348851
0.298; -0.347924
0.299; -0.346998
0.3; -0.346075
0.301; -0.345154
0.302; -0.344235
0.303; -0.343318
0.304; -0.342404
0.305; -0.341492
0.306; -0.340583
0.307; -0.339675
0.308; -0.33877
0.309; -0.337867
0.31; -0.336967
0.311; -0.336069
0.312; -0.335173
0.313; -0.334279
0.314; -0.333388
0.315; -0.332498
0.316; -0.331612
0.317; -0.330727
0.318; -0.329845
0.319; -0.328965
0.32; -0.328087
0.321; -0.327211
0.322; -0.326338
0.323; -0.325467
0.324; -0.324598
0.325; -0.323732
0.326; -0.322867
0.327; -0.322005
0.328; -0.321145
0.329; -0.320288
0.33; -0.319432
0.331; -0.318579
0.332; -0.317728
0.333; -0.31688
0.334; -0.316033
0.335; -0.315189
0.336; -0.314347
0.337; -0.313507
0.338; -0.312669
0.339; -0.311834
0.34; -0.311001
0.341; -0.31017
0.342; -0.309341
0.343; -0.308514
0.344; -0.307689
0.345; -0.306867
0.346; -0.306047
0.347; -0.305229
0.348; -0.304413
0.349; -0.303599
0.35; -0.302788
0.351; -0.301978
0.352; -0.301171
0.353; -0.300366
0.354; -0.299563
0.355; -0.298762
0.356; -0.297963
0.357; -0.297166
0.358; -0.296372
0.359; -0.295579
0.36; -0.294789
0.361; -0.294
0.362; -0.293214
0.363; -0.29243
0.364; -0.291648
0.365; -0.290868
0.366; -0.29009
0.367; -0.289314
0.368; -0.288541
0.369; -0.287769
0.37; -0.286999
0.371; -0.286232
0.372; -0.285466
0.373; -0.284702
0.374; -0.283941
0.375; -0.283181
0.376; -0.282424
0.377; -0.281669
0.378; -0.280915
0.379; -0.280164
0.38; -0.279414
0.381; -0.278667
0.382; -0.277921
0.383; -0.277178
0.384; -0.276436
0.385; -0.275697
0.386; -0.274959
0.387; -0.274224
0.388; -0.27349
0.389; -0.272759
0.39; -0.272029
0.391; -0.271301
0.392; -0.270575
0.393; -0.269851
0.394; -0.26913
0.395; -0.26841
0.396; -0.267691
0.397; -0.266975
0.398; -0.266261
0.399; -0.265549
0.4; -0.264838
0.401; -0.26413
0.402; -0.263423
0.403; -0.262718
0.404; -0.262015
0.405; -0.261314
0.406; -0.260615
0.407; -0.259918
0.408; -0.259222
0.409; -0.258529
0.41; -0.257837
0.411; -0.257147
0.412; -0.256459
0.413; -0.255773
0.414; -0.255089
0.415; -0.254406
0.416; -0.253725
0.417; -0.253047
0.418; -0.25237
0.419; -0.251694
0.42; -0.251021
0.421; -0.250349
0.422; -0.249679
0.423; -0.249011
0.424; -0.248345
0.425; -0.24768
0.426; -0.247018
0.427; -0.246357
0.428; -0.245698
0.429; -0.24504
0.43; -0.244385
0.431; -0.243731
0.432; -0.243078
0.433; -0.242428
0.434; -0.241779
0.435; -0.241132
0.436; -0.240487
0.437; -0.239844
0.438; -0.239202
0.439; -0.238562
0.44; -0.237924
0.441; -0.237287
0.442; -0.236652
0.443; -0.236019
0.444; -0.235387
0.445; -0.234757
0.446; -0.234129
0.447; -0.233503
0.448; -0.232878
0.449; -0.232255
0.45; -0.231633
0.451; -0.231013
0.452; -0.230395
0.453; -0.229779
0.454; -0.229164
0.455; -0.228551
0.456; -0.227939
0.457; -0.227329
0.458; -0.226721
0.459; -0.226114
0.46; -0.225509
0.461; -0.224906
0.462; -0.224304
0.463; -0.223704
0.464; -0.223105
0.465; -0.222508
0.466; -0.221913
0.467; -0.221319
0.468; -0.220727
0.469; -0.220136
0.47; -0.219547
0.471; -0.21896
0.472; -0.218374
0.473; -0.217789
0.474; -0.217207
0.475; -0.216625
0.476; -0.216046
0.477; -0.215468
