t; x
0; 10
0.001; 9.6075
0.002; 9.22945
0.003; 8.86531
0.004; 8.51457
0.005; 8.17676
0.006; 7.85138
0.007; 7.53799
0.008; 7.23615
0.009; 6.94543
0.01; 6.66542
0.011; 6.39574
0.012; 6.13601
0.013; 5.88586
0.014; 5.64493
0.015; 5.4129
0.016; 5.18943
0.017; 4.97422
0.018; 4.76695
0.019; 4.56734
0.02; 4.37511
0.021; 4.18999
0.022; 4.01171
0.023; 3.84003
0.024; 3.6747
0.025; 3.5155
0.026; 3.36219
0.027; 3.21456
0.028; 3.0724
0.029; 2.93552
0.03; 2.80371
0.031; 2.6768
0.032; 2.5546
0.033; 2.43693
0.034; 2.32365
0.035; 2.21457
0.036; 2.10956
0.037; 2.00845
0.038; 1.91111
0.039; 1.8174
0.04; 1.72719
0.041; 1.64034
0.042; 1.55674
0.043; 1.47626
0.044; 1.39879
0.045; 1.32423
0.046; 1.25245
0.047; 1.18337
0.048; 1.11688
0.049; 1.05288
0.05; 0.991292
0.051; 0.932021
0.052; 0.874981
0.053; 0.820092
0.054; 0.767274
0.055; 0.716452
0.056; 0.667552
0.057; 0.620503
0.058; 0.575238
0.059; 0.531691
0.06; 0.489799
0.061; 0.449501
0.062; 0.410739
0.063; 0.373457
0.064; 0.337599
0.065; 0.303114
0.066; 0.269951
0.067; 0.238061
0.068; 0.207399
0.069; 0.177918
0.07; 0.149575
0.071; 0.122329
0.072; 0.0961392
0.073; 0.0709664
0.074; 0.0467735
0.075; 0.0235245
0.076; 0.0011845
0.077; -0.0202798
0.078; -0.0409007
0.079; -0.0607092
0.08; -0.0797352
0.081; -0.0980075
0.082; -0.115554
0.083; -0.132401
0.084; -0.148575
0.085; -0.1641
0.086; -0.179001
0.087; -0.1933
0.088; -0.207019
0.089; -0.22018
0.09; -0.232804
0.091; -0.24491
0.092; -0.256517
0.093; -0.267645
0.094; -0.278309
0.095; -0.288529
0.096; -0.298319
0.097; -0.307697
0.098; -0.316677
0.099; -0.325273
0.1; -0.333501
0.101; -0.341374
0.102; -0.348904
0.103; -0.356105
0.104; -0.362989
0.105; -0.369568
0.106; -0.375852
0.107; -0.381853
0.108; -0.387582
0.109; -0.393048
0.11; -0.398261
0.111; -0.403231
0.112; -0.407966
0.113; -0.412476
0.114; -0.416768
0.115; -0.420852
0.116; -0.424734
0.117; -0.428422
0.118; -0.431924
0.119; -0.435246
0.12; -0.438395
0.121; -0.441378
0.122; -0.444201
0.123; -0.446869
0.124; -0.449389
0.125; -0.451766
0.126; -0.454006
0.127; -0.456114
0.128; -0.458094
0.129; -0.459951
0.13; -0.461691
0.131; -0.463317
0.132; -0.464834
0.133; -0.466246
0.134; -0.467557
0.135; -0.468771
0.136; -0.469892
0.137; -0.470922
0.138; -0.471866
0.139; -0.472726
0.14; -0.473507
0.141; -0.47421
0.142; -0.47484
0.143; -0.475398
0.144; -0.475888
0.145; -0.476311
0.146; -0.476672
0.147; -0.476972
0.148; -0.477213
0.149; -0.477398
0.15; -0.477529
0.151; -0.477608
0.152; -0.477637
0.153; -0.477618
0.154; -0.477554
0.155; -0.477444
0.156; -0.477293
0.157; -0.4771
0.158; -0.476869
0.159; -0.476599
0.16; -0.476294
0.161; -0.475954
0.162; -0.47558
0.163; -0.475175
0.164; -0.474739
0.165; -0.474273
0.166; -0.473779
0.167; -0.473258
0.168; -0.472711
0.169; -0.47214
0.17; -0.471544
0.171; -0.470926
0.172; -0.470285
0.173; -0.469624
0.174; -0.468943
0.175; -0.468242
0.176; -0.467523
0.177; -0.466786
0.178; -0.466033
0.179; -0.465263
0.18; -0.464478
0.181; -0.463678
0.182; -0.462864
0.183; -0.462036
0.184; -0.461196
0.185; -0.460344
0.186; -0.459479
0.187; -0.458604
0.188; -0.457718
0.189; -0.456822
0.19; -0.455916
0.191; -0.455001
0.192; -0.454077
0.193; -0.453146
0.194; -0.452206
0.195; -0.451258
0.196; -0.450304
0.197; -0.449343
0.198; -0.448375
0.199; -0.447402
0.2; -0.446423
0.201; -0.445438
0.202; -0.444449
0.203; -0.443454
0.204; -0.442455
0.205; -0.441452
0.206; -0.440445
0.207; -0.439435
0.208; -0.438421
0.209; -0.437403
0.21; -0.436383
0.211; -0.43536
0.212; -0.434334
0.213; -0.433306
0.214; -0.432276
0.215; -0.431244
0.216; -0.43021
0.217; -0.429175
0.218; -0.428137
0.219; -0.427099
0.22; -0.42606
0.221; -0.425019
0.222; -0.423978
0.223; -0.422936
0.224; -0.421893
0.225; -0.42085
0.226; -0.419806
0.227; -0.418763
0.228; -0.417719
0.229; -0.416675
0.23; -0.415631
0.231; -0.414587
0.232; -0.413544
0.233; -0.412501
0.234; -0.411459
0.235; -0.410417
0.236; -0.409375
0.237; -0.408335
0.238; -0.407295
0.239; -0.406256
0.24; -0.405218
0.241; -0.404181
0.242; -0.403145
0.243; -0.40211
0.244; -0.401076
0.245; -0.400043
0.246; -0.399012
0.247; -0.397982
0.248; -0.396954
0.249; -0.395926
0.25; -0.394901
0.251; -0.393877
0.252; -0.392854
0.253; -0.391833
0.254; -0.390813
0.255; -0.389796
0.256; -0.38878
0.257; -0.387765
0.258; -0.386753
0.259; -0.385742
0.26; -0.384733
0.261; -0.383726
0.262; -0.38272
0.263; -0.381717
0.264; -0.380716
0.265; -0.379716
0.266; -0.378719
0.267; -0.377723
0.268; -0.37673
0.269; -0.375738
0.27; -0.374749
0.271; -0.373761
0.272; -0.372776
0.273; -0.371793
0.274; -0.370812
0.275; -0.369833
0.276; -0.368856
0.277; -0.367881
0.278; -0.366909
0.279; -0.365938
0.28; -0.36497
0.281; -0.364004
0.282; -0.36304
0.283; -0.362079
0.284; -0.361119
0.285; -0.360162
0.286; -0.359207
0.287; -0.358255
0.288; -0.357304
